赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周二002,2040829,2026-08-11,欧洲冠军联赛,阿拉木图凯拉特,索菲亚列夫斯基,阿拉木图凯拉特,索菲亚列夫斯基,2.6,2.9,2.5,0.33938177836480893,0.30871850469187717,0.35189971694331384,负,0.35189971694331384,0.3405354626585251,0.3053076561766087,0.3541568811648661,,,跳过,官方赔率80% + 欧战历史/Elo校准20%,中,,0.3541568811648661,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,7.0,3.9,1.37,0.12810548046139716,0.21227466969339434,0.6596198498452086,负,平,0.6596198498452086,0.21227466969339434,负,0.013205908140854095,0.66991000354359,0.3300899964564104,小于2.5球,0.66991000354359,平平,负负,0.21471963694936047,0.19907602154751727,胜胜,平平 21.5% / 负负 19.9% / 胜胜 19.1%,1-1,0.13531805624055376,0-1,0.13531805624055376,1-0,1-1 13.5% / 0-1 13.5% / 1-0 13.2%,0-1,0.13531805624055376,1-1,1-1,0.13531805624055376,https://m.sporttery.cn/mjc/jsq/zqspf/
周二003,2040812,2026-08-12,欧洲冠军联赛,博德闪耀,圣吉尔联合,博德闪耀,圣吉尔联合,1.48,4.3,4.52,0.6074445007918753,0.20230093820779563,0.19025456100032903,胜,0.6074445007918753,0.5982222003348765,0.20589973406874817,0.1958780655963755,,,谨慎主推,官方赔率80% + 欧战历史/Elo校准20%,中,,0.5982222003348765,0.55,0.6884384384,0.3267909715,4076,2025-01-01至2026-08-10,-1.0,2.5,3.44,2.28,0.3641244299483784,0.23094971049367297,0.40492585955794863,负,胜,0.40492585955794863,0.3641244299483784,负,0.016544776426332564,0.37471150447931106,0.6252884955206888,大于2.5球,0.6252884955206888,胜胜,平胜,0.3870072482421412,0.17592296558803042,平平,胜胜 38.7% / 平胜 17.6% / 平平 11.3%,2-1,0.09921762622160779,3-1,0.06945233835512545,3-0,2-1 9.9% / 3-1 6.9% / 3-0 6.2%,2-1,0.09921762622160779,1-2,1-2,0.05315229976157559,https://m.sporttery.cn/mjc/jsq/zqspf/
周二004,2040813,2026-08-12,欧洲冠军联赛,萨巴赫,奥胡斯,萨巴赫,奥胡斯,1.72,3.68,3.62,0.5257134976543131,0.2375867093677916,0.2366997929778954,胜,0.5257134976543131,0.5147927164806628,0.2406096392246576,0.2445976442946796,,,观察,官方赔率80% + 欧战历史/Elo校准20%,中,,0.5147927164806628,0.5,0.6382047072,0.4482335623,4076,2025-01-01至2026-08-10,-1.0,3.5,3.34,1.84,0.27739147271338854,0.23579758225105088,0.48681094503556055,负,胜,0.48681094503556055,0.27739147271338854,胜,0.02423192155914311,0.469453804405807,0.530546195594193,大于2.5球,0.530546195594193,胜胜,平胜,0.3180206618463541,0.168012338167247,平平,胜胜 31.8% / 平胜 16.8% / 平平 14.2%,2-1,0.0968535900542622,1-2,0.06266997003511082,3-1,2-1 9.7% / 1-2 6.3% / 3-1 5.5%,1-1,0.1139454000638379,1-1,1-1,0.1139454000638379,https://m.sporttery.cn/mjc/jsq/zqspf/
周二005,2040814,2026-08-12,欧洲冠军联赛,奈梅亨,奥林匹亚科斯,奈梅亨,奥林匹亚科斯,2.7,3.18,2.25,0.3296137249435589,0.2792854923156833,0.39110078274075794,负,0.39110078274075794,0.32797029702970293,0.27846534653465344,0.3935643564356435,,,跳过,官方赔率80% + 欧战历史/Elo校准20%,中,,0.3935643564356435,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,1.0,1.49,3.9,4.95,0.6085211428227062,0.21969793067569174,0.17178092650160204,胜,平,0.6085211428227062,0.21969793067569174,胜,0.014365748334917106,0.5762538349889964,0.4237461650110035,小于2.5球,0.5762538349889964,负负,胜胜,0.2277709714102301,0.18828857427558215,平平,负负 22.8% / 胜胜 18.8% / 平平 17.9%,1-1,0.13086582174638517,0-1,0.11632517488567572,1-0,1-1 13.1% / 0-1 11.6% / 1-0 10.5%,1-1,0.13086582174638517,1-1,1-1,0.13086582174638517,https://m.sporttery.cn/mjc/jsq/zqspf/
周二006,2040830,2026-08-12,欧洲冠军联赛,采列,亚拉腊,采列,亚拉腊,1.31,4.52,6.9,0.6699603644051173,0.1985607789802617,0.13147885661462103,胜,0.6699603644051173,0.6758226756406533,0.19586896130293271,0.1283083630564139,,,高置信主推,官方赔率80% + 欧战历史/Elo校准20%,中,,0.6758226756406533,0.6,0.7241746539,0.2303729146,4076,2025-01-01至2026-08-10,-1.0,2.16,3.17,2.85,0.426315552934145,0.2475296901131547,0.3261547569527003,胜,负,0.426315552934145,0.3261547569527003,胜,0.016358978518484557,0.4576217907093599,0.5423782092906401,大于2.5球,0.5423782092906401,胜胜,平胜,0.44481834641631884,0.20227639595100674,平平,胜胜 44.5% / 平胜 20.2% / 平平 12.1%,2-1,0.09704513454756271,3-0,0.08661017384352368,3-1,2-1 9.7% / 3-0 8.7% / 3-1 6.7%,2-0,0.125219528448468,0-1,0-1,0.04507830317204251,https://m.sporttery.cn/mjc/jsq/zqspf/
周二007,2040815,2026-08-12,欧洲冠军联赛,布拉迪斯拉发,米亚尔比,布拉迪斯拉发,米亚尔比,1.68,3.6,3.9,0.533117534256729,0.2443641058577394,0.22251835988553148,胜,0.533117534256729,0.5270270270270271,0.24594594594594596,0.22702702702702707,,,观察,官方赔率80% + 欧战历史/Elo校准20%,中,,0.5270270270270271,0.5,0.6382047072,0.4482335623,4076,2025-01-01至2026-08-10,-1.0,3.28,3.4,1.89,0.2795632021489282,0.2455418766701767,0.474894921180895,负,胜,0.474894921180895,0.2795632021489282,胜,0.0093042986615538,0.5184296587225402,0.4815703412774599,小于2.5球,0.5184296587225402,胜胜,平胜,0.32377217813581205,0.17635481220954563,平平,胜胜 32.4% / 平胜 17.6% / 平平 15.4%,1-0,0.12087934304871646,1-1,0.11785735947249854,2-0,1-0 12.1% / 1-1 11.8% / 2-0 9.8%,1-0,0.12087934304871646,0-1,0-1,0.07252760582922993,https://m.sporttery.cn/mjc/jsq/zqspf/
周二008,2040816,2026-08-12,欧洲冠军联赛,格拉茨风暴,费内巴切,格拉茨风暴,费内巴切,4.22,3.85,1.58,0.20476088692498168,0.23201435495091105,0.5632247581241073,负,0.5632247581241073,0.2097759814605347,0.22993627058791072,0.5602877479515546,,,谨慎主推,官方赔率80% + 欧战历史/Elo校准20%,中,,0.5602877479515546,0.55,0.6884384384,0.3267909715,4076,2025-01-01至2026-08-10,1.0,2.04,3.3,2.98,0.4399740505652664,0.24105290953304542,0.31897303990168835,胜,负,0.4399740505652664,0.31897303990168835,负,0.021691496793215026,0.4576211281626907,0.5423788718373094,大于2.5球,0.5423788718373094,负负,平负,0.35378165364795033,0.1780761714330739,平平,负负 35.4% / 平负 17.8% / 平平 13.5%,1-2,0.099020985719056,1-3,0.06023776631242569,0-3,1-2 9.9% / 1-3 6.0% / 0-3 5.9%,1-1,0.10851614873321216,1-0,1-0,0.059460903415458774,https://m.sporttery.cn/mjc/jsq/zqspf/
周二009,2040817,2026-08-12,欧洲冠军联赛,里昂,布拉格斯巴达,里昂,布拉格斯巴达,1.27,4.85,7.35,0.6998501499419701,0.180122955191622,0.1200268948664079,胜,0.6998501499419701,0.6970366532072778,0.18252299991200885,0.12044034688071333,,,高置信主推,官方赔率80% + 欧战历史/Elo校准20%,中,,0.6970366532072778,0.6,0.7241746539,0.2303729146,4076,2025-01-01至2026-08-10,-1.0,1.86,3.75,3.08,0.4566875381533433,0.23728851071812254,0.3060239511285342,胜,负,0.4566875381533433,0.3060239511285342,负,0.018440149827294805,0.40660045411380885,0.5933995458861911,大于2.5球,0.5933995458861911,胜胜,平胜,0.46671654033774046,0.1985946224759627,平平,胜胜 46.7% / 平胜 19.9% / 平平 10.7%,2-1,0.09727374683300692,3-0,0.08843067893909722,3-1,2-1 9.7% / 3-0 8.8% / 3-1 7.3%,2-0,0.11790757191879629,0-1,0-1,0.038429134551311396,https://m.sporttery.cn/mjc/jsq/zqspf/
周二010,2040818,2026-08-12,南美解放者杯,弗鲁米嫩塞,里瓦达维亚独立,弗鲁米嫩塞,里瓦达维亚独立,1.57,3.25,5.4,0.5637558021875652,0.27233741828753155,0.1639067795249032,胜,0.5637558021875652,0.5637558021875652,0.27233741828753155,0.1639067795249032,,,谨慎主推,官方赔率市场基线（未训练联赛）,低,,0.5637558021875652,0.55,0.6884384384,0.3267909715,4076,2025-01-01至2026-08-10,-1.0,3.18,2.99,2.08,0.28658201837016284,0.27839903841312147,0.43501894321671564,负,胜,0.43501894321671564,0.28658201837016284,负,0.00943998359842163,0.6631456983002354,0.3368543016997646,小于2.5球,0.6631456983002354,胜胜,平胜,0.3429407222086744,0.20430739834719353,平平,胜胜 34.3% / 平胜 20.4% / 平平 19.7%,1-0,0.1835745964131681,2-0,0.13079689994438215,0-0,1-0 18.4% / 2-0 13.1% / 0-0 12.9%,1-0,0.1835745964131681,0-1,0-1,0.08051517386542466,https://m.sporttery.cn/mjc/jsq/zqspf/
周三001,2040831,2026-08-13,欧洲超级杯,巴黎圣日尔曼,阿斯顿维拉,巴黎圣日尔曼,阿斯顿维拉,1.6,3.58,4.45,0.5535633621738073,0.2474026199659474,0.19903401786024533,胜,0.5535633621738073,0.5535633621738073,0.2474026199659474,0.19903401786024533,,,谨慎主推,官方赔率市场基线（未训练联赛）,低,,0.5535633621738073,0.55,0.6884384384,0.3267909715,4076,2025-01-01至2026-08-10,-1.0,2.88,3.45,2.03,0.29408777943500686,0.2561715691020961,0.4497406514628971,负,胜,0.4497406514628971,0.29408777943500686,负,0.013681509625181665,0.5567015751947164,0.4432984248052836,小于2.5球,0.5567015751947164,胜胜,平胜,0.339794162468228,0.1872097369088831,平平,胜胜 34.0% / 平胜 18.7% / 平平 16.3%,1-0,0.13825861259998184,1-1,0.11751982070998457,2-0,1-0 13.8% / 1-1 11.8% / 2-0 11.1%,1-0,0.13825861259998184,0-1,0-1,0.07344988794374042,https://m.sporttery.cn/mjc/jsq/zqspf/
