赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周三001,2040831,2026-08-13,欧洲超级杯,巴黎圣日尔曼,阿斯顿维拉,巴黎圣日尔曼,阿斯顿维拉,1.6,3.48,4.6,0.5532209012994194,0.2543544373790434,0.19242466132153718,胜,0.5532209012994194,0.5532209012994194,0.2543544373790434,0.19242466132153718,,,谨慎主推,官方赔率市场基线（未训练联赛）,低,,0.5532209012994194,0.55,0.6884384384,0.3267909715,4076,2025-01-01至2026-08-10,-1.0,3.0,3.25,2.05,0.2898221609251141,0.2607930153709435,0.44938482370394245,负,胜,0.44938482370394245,0.2898221609251141,负,0.017251859715022688,0.582824848943669,0.4171751510563311,小于2.5球,0.582824848943669,胜胜,平胜,0.3382719589303413,0.19040012328980366,平平,胜胜 33.8% / 平胜 19.0% / 平平 17.1%,1-0,0.1479904553680558,1-1,0.11839236429444461,2-0,1-0 14.8% / 1-1 11.8% / 2-0 11.5%,1-0,0.1479904553680558,0-1,0-1,0.07638217051254492,https://m.sporttery.cn/mjc/jsq/zqspf/
周三002,2040819,2026-08-13,南美解放者杯,普拉滕斯,科金博联,普拉滕斯,科金博联,1.88,2.67,4.5,0.4712762702689981,0.3318349768186204,0.19688875291238142,胜,0.4712762702689981,0.4712762702689981,0.3318349768186204,0.19688875291238142,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.4712762702689981,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,4.15,3.35,1.7,0.19702345020405562,0.27722005622677115,0.5257564935691732,负,平,0.5257564935691732,0.27722005622677115,平,0.012516932692393512,0.7703601973806331,0.229639802619367,小于2.5球,0.7703601973806331,胜胜,平平,0.2719485605225757,0.2593345058012657,平胜,胜胜 27.2% / 平平 25.9% / 平胜 19.0%,1-0,0.20648089890663418,0-0,0.19207525479686896,1-1,1-0 20.6% / 0-0 19.2% / 1-1 11.9%,1-0,0.20648089890663418,0-1,0-1,0.11044327150819964,https://m.sporttery.cn/mjc/jsq/zqspf/
周三003,2040820,2026-08-13,南美解放者杯,帕尔梅拉斯,波特诺山丘,帕尔梅拉斯,波特诺山丘,1.22,4.7,10.5,0.7268683536100391,0.1886764662562229,0.08445518013373786,胜,0.7268683536100391,0.7268683536100391,0.1886764662562229,0.08445518013373786,,,精选主推,官方赔率市场基线（未训练联赛）,低,,0.7268683536100391,0.7,0.8081841432,0.0959273798,4076,2025-01-01至2026-08-10,-1.0,1.9,3.22,3.42,0.4610166648513703,0.2640900647210977,0.274893270427532,胜,负,0.4610166648513703,0.274893270427532,负,0.015967570845672907,0.5502425102965274,0.44975748970347273,小于2.5球,0.5502425102965274,胜胜,平胜,0.47988072546765326,0.22564287634519545,平平,胜胜 48.0% / 平胜 22.6% / 平平 13.5%,1-0,0.16692993892563185,2-0,0.16484331468906135,0-0,1-0 16.7% / 2-0 16.5% / 0-0 8.5%,1-0,0.16692993892563185,0-1,0-1,0.04226074403180556,https://m.sporttery.cn/mjc/jsq/zqspf/
周四001,2040832,2026-08-14,沙特职业联赛,艾卜哈,拉斯决心,艾卜哈,拉斯决心,2.32,3.15,2.63,0.3818780221350505,0.28125619408041813,0.33686578378453125,胜,0.3818780221350505,0.3818780221350505,0.28125619408041813,0.33686578378453125,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.3818780221350505,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,5.2,4.0,1.46,0.1663371384874235,0.21819427471540045,0.6154685867971761,负,平,0.6154685867971761,0.21819427471540045,负,0.007849984319961756,0.5828247988687318,0.4171752011312682,小于2.5球,0.5828247988687318,胜胜,负负,0.22289859167413678,0.19122153657617952,平平,胜胜 22.3% / 负负 19.1% / 平平 18.1%,1-1,0.13149037180579615,1-0,0.11688033049404102,0-1,1-1 13.1% / 1-0 11.7% / 0-1 10.7%,1-1,0.13149037180579615,1-1,1-1,0.13149037180579615,https://m.sporttery.cn/mjc/jsq/zqspf/
周四005,2040823,2026-08-14,沙特职业联赛,利雅得青年,胡巴尔卡德西亚,利雅得青年,胡巴尔卡德西亚,4.45,4.2,1.5,0.1989578398863098,0.2108005684509711,0.5902415916627191,负,0.5902415916627191,0.1989578398863098,0.2108005684509711,0.5902415916627191,,,谨慎主推,官方赔率市场基线（未训练联赛）,低,,0.5902415916627191,0.55,0.6884384384,0.3267909715,4076,2025-01-01至2026-08-10,1.0,2.25,3.6,2.46,0.40930551499821105,0.233201985828677,0.35749249917311204,胜,负,0.40930551499821105,0.35749249917311204,胜,0.015548011997010558,0.39043712647469,0.6095628735253101,大于2.5球,0.6095628735253101,负负,平负,0.38234551298380476,0.17693041755560907,平平,负负 38.2% / 平负 17.7% / 平平 11.7%,1-2,0.09957648997690495,1-3,0.06804393481755168,0-3,1-2 10.0% / 1-3 6.8% / 0-3 6.2%,1-2,0.09957648997690495,2-1,2-1,0.05343128730468074,https://m.sporttery.cn/mjc/jsq/zqspf/
周四009,2040827,2026-08-14,南美解放者杯,米拉索尔,基多体育大学,米拉索尔,基多体育大学,1.49,3.6,5.6,0.5952521554269516,0.24636825321837721,0.15837959135467106,胜,0.5952521554269516,0.5952521554269516,0.24636825321837721,0.15837959135467106,,,谨慎主推,官方赔率市场基线（未训练联赛）,低,,0.5952521554269516,0.55,0.6884384384,0.3267909715,4076,2025-01-01至2026-08-10,-1.0,2.74,3.1,2.27,0.3272435383199058,0.26851836536893203,0.4042380963111622,负,胜,0.4042380963111622,0.3272435383199058,负,0.013723724425990125,0.5894203601073599,0.41057963989264007,小于2.5球,0.5894203601073599,胜胜,平胜,0.37152954467838817,0.20286014147859022,平平,胜胜 37.2% / 平胜 20.3% / 平平 16.7%,1-0,0.15913143935252458,2-0,0.12929429447392612,1-1,1-0 15.9% / 2-0 12.9% / 1-1 11.1%,1-0,0.15913143935252458,0-1,0-1,0.06854892772108759,https://m.sporttery.cn/mjc/jsq/zqspf/
周四010,2040828,2026-08-14,南美解放者杯,罗萨里奥中央,科林蒂安,罗萨里奥中央,科林蒂安,2.02,2.7,3.8,0.4386489952971355,0.32817443351859765,0.23317657118426677,胜,0.4386489952971355,0.4386489952971355,0.32817443351859765,0.23317657118426677,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.4386489952971355,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,4.9,3.3,1.61,0.17734365119016887,0.2617206471541531,0.560935701655678,负,平,0.560935701655678,0.2617206471541531,负,0.010411392790091623,0.750609660750274,0.249390339249726,小于2.5球,0.750609660750274,平平,胜胜,0.25096808946068316,0.2500835230920154,平胜,平平 25.1% / 胜胜 25.0% / 平胜 17.6%,1-0,0.18710401225947002,0-0,0.17819429738997145,1-1,1-0 18.7% / 0-0 17.8% / 1-1 12.6%,1-0,0.18710401225947002,0-1,0-1,0.12028115073823073,https://m.sporttery.cn/mjc/jsq/zqspf/
