赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,专用模型联赛,模型类别,胜负模型类别,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周一001,2040914,2026-08-17,芬兰超级联赛,赫尔辛基火花,坦佩雷山猫,赫尔辛基火花,坦佩雷山猫,2.24,3.35,2.6,0.3952264270804973,0.2642708049732281,0.3405027679462746,胜,0.3952264270804973,0.3952264270804973,0.2642708049732281,0.3405027679462746,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.3952264270804973,0.0,0.5213815789473685,1.0,1000,2026-04-25至2026-08-16,-1.0,4.5,4.15,1.5,0.18187800291626732,0.2149273506529402,0.6031946464307925,负,平,0.6031946464307925,0.2149273506529402,负,0.013147253065863507,0.5247236528074737,0.4752763471925263,小于2.5球,0.5247236528074737,胜胜,负负,0.23356818950711222,0.19492449075884524,平平,胜胜 23.4% / 负负 19.5% / 平平 16.3%,1-1,0.12603862138932784,1-0,0.10288867052190037,0-1,1-1 12.6% / 1-0 10.3% / 0-1 9.3%,1-1,0.12603862138932784,1-1,1-1,0.12603862138932784,https://m.sporttery.cn/mjc/jsq/zqspf/
周一002,2040915,2026-08-18,瑞超,赫根,哈尔姆斯塔德,Hacken,Halmstad,1.21,5.6,8.05,0.7514973203824673,0.15955192569017615,0.08895075392735649,胜,0.7514973203824673,0.7318597647593614,0.15813398488550487,0.11000625035513381,胜,0.019637555623105873,跳过,历史数据训练模型,瑞超,瑞超专用模型,瑞超专用模型,正常,,0.7318597647593614,0.675,0.7627627627627628,0.136,136,2026-04-25至2026-08-16,-1.0,1.71,4.0,3.4,0.5412625301793129,0.1938758218167258,0.2648616480039612,胜,负,0.5412625301793129,0.2648616480039612,胜,0.02324622790156483,0.3101692616026016,0.6898307383973984,大于2.5球,0.6898307383973984,胜胜,平胜,0.49135183537565397,0.18909381045637141,平平,胜胜 49.1% / 平胜 18.9% / 平平 9.0%,2-1,0.08637768984265619,3-1,0.08192212376691115,3-0,2-1 8.6% / 3-1 8.2% / 3-0 7.7%,2-1,0.08637768984265619,1-2,1-2,0.032283775355315694,https://m.sporttery.cn/mjc/jsq/zqspf/
周一003,2040916,2026-08-18,英格兰冠军联赛,加的夫城,雷克斯汉姆,加的夫城,雷克斯汉姆,2.27,3.3,2.59,0.39419081061650824,0.26766364550940486,0.3381455438740869,胜,0.39419081061650824,0.38996591733470815,0.26824928253023866,0.3417848001350531,,,跳过,官方赔率80% + 欧战历史校准20%（Elo缺失）,,通用/市场模型,欧战校准模型,较低,,0.38996591733470815,0.0,0.5213815789473685,1.0,1000,2026-04-25至2026-08-16,-1.0,4.8,4.15,1.47,0.1740851599408146,0.214770327295907,0.6111445127632785,负,平,0.6111445127632785,0.214770327295907,负,0.008904251550635123,0.5438131272425003,0.4561868727574996,小于2.5球,0.5438131272425003,胜胜,负负,0.22743448098827831,0.19626794880812448,平平,胜胜 22.7% / 负负 19.6% / 平平 16.9%,1-1,0.12813647467053654,1-0,0.10678039555878051,0-1,1-1 12.8% / 1-0 10.7% / 0-1 9.9%,1-1,0.12813647467053654,1-1,1-1,0.12813647467053654,https://m.sporttery.cn/mjc/jsq/zqspf/
周一004,2040922,2026-08-18,西甲,拉科鲁尼亚,埃尔切,拉科鲁尼亚,埃尔切,2.16,2.95,3.05,0.40976887168393483,0.30003415689399976,0.2901969714220654,胜,0.40976887168393483,0.40976887168393483,0.30003415689399976,0.2901969714220654,,,跳过,官方赔率市场基线（球队尚未映射）,,通用/市场模型,市场基线,低,,0.40976887168393483,0.0,0.5213815789473685,1.0,1000,2026-04-25至2026-08-16,-1.0,5.0,3.65,1.53,0.1721032132884835,0.2361343312095074,0.591762455502009,负,平,0.591762455502009,0.2361343312095074,负,0.012112151384109704,0.6563854638787847,0.3436145361212154,小于2.5球,0.6563854638787847,胜胜,平平,0.23508532016982692,0.2078139834438455,负负,胜胜 23.5% / 平平 20.8% / 负负 16.2%,1-0,0.14442542683526566,1-1,0.13359351982262074,0-0,1-0 14.4% / 1-1 13.4% / 0-0 12.6%,1-0,0.14442542683526566,0-1,0-1,0.11616827810662676,https://m.sporttery.cn/mjc/jsq/zqspf/
周一006,2040918,2026-08-18,西甲,巴西国际,里莫,巴西国际,里莫,1.45,3.8,5.7,0.6112600536193029,0.2332439678284182,0.1554959785522788,胜,0.6112600536193029,0.6112600536193029,0.2332439678284182,0.1554959785522788,,,观察,官方赔率市场基线（球队尚未映射）,,通用/市场模型,市场基线,低,,0.6112600536193029,0.55,0.6480582524271845,0.412,412,2026-04-25至2026-08-16,-1.0,2.48,3.3,2.37,0.35045792115873015,0.2615289310524915,0.3880131477887783,负,胜,0.3880131477887783,0.35045792115873015,负,0.014017370321749767,0.5438133036713306,0.4561866963286693,小于2.5球,0.5438133036713306,胜胜,平胜,0.38756562078126294,0.20084195848806494,平平,胜胜 38.8% / 平胜 20.1% / 平平 15.2%,1-0,0.14396763205588772,2-0,0.12597167804890166,1-1,1-0 14.4% / 2-0 12.6% / 1-1 10.8%,1-0,0.14396763205588772,0-1,0-1,0.0617004137382376,https://m.sporttery.cn/mjc/jsq/zqspf/
周日022,2040907,2026-08-17,西甲,西班牙人,莱万特,Espanol,Levante,1.97,2.94,3.55,0.4538371118481137,0.30345169443434883,0.24271119371753744,胜,0.4538371118481137,0.44943868609052506,0.30115449374093006,0.2494068201685449,胜,0.004398425757588642,跳过,历史数据训练模型,西甲,西甲专用模型,西甲专用模型,正常,,0.44943868609052506,0.0,0.5213815789473685,1.0,1000,2026-04-25至2026-08-16,-1.0,4.2,3.5,1.65,0.24949891516441192,0.24082381236693862,0.5096772724686496,负,胜,0.5096772724686496,0.24949891516441192,胜,0.03877094581575288,0.624880720910678,0.37511927908932197,小于2.5球,0.624880720910678,胜胜,平平,0.2690512586407773,0.17965541975814506,平胜,胜胜 26.9% / 平平 18.0% / 平胜 17.0%,1-0,0.17106186860363937,2-0,0.11992321656018352,1-1,1-0 17.1% / 2-0 12.0% / 1-1 11.3%,1-0,0.17106186860363937,0-1,0-1,0.08800520693688452,https://m.sporttery.cn/mjc/jsq/zqspf/
周日023,2040908,2026-08-17,葡超,阿罗卡,摩雷伦斯,Arouca,Moreirense,1.85,3.0,3.92,0.4787883711719181,0.29525283269441754,0.22595879613366443,胜,0.4787883711719181,0.4787883722823874,0.2952528295741389,0.2259587981434737,平,3.1202786465733823e-09,跳过,历史数据训练模型,葡超,葡超专用模型,葡超专用模型,正常,,0.4787883722823874,0.0,0.5213815789473685,1.0,1000,2026-04-25至2026-08-16,-1.0,4.05,3.22,1.75,0.23792662893778016,0.22710954253871832,0.5349638285235016,负,胜,0.5349638285235016,0.23792662893778016,负,0.028782603146514707,0.541702998369843,0.45829700163015696,小于2.5球,0.541702998369843,胜胜,平平,0.253069957158912,0.2135552108771415,平胜,胜胜 25.3% / 平平 21.4% / 平胜 18.0%,1-0,0.11959394232325253,1-1,0.11596801517977738,0-1,1-0 12.0% / 1-1 11.6% / 0-1 8.7%,1-0,0.11959394232325253,0-1,0-1,0.08654776168115914,https://m.sporttery.cn/mjc/jsq/zqspf/
周日024,2040909,2026-08-17,挪威超级联赛,腓特烈斯塔,克里斯蒂安松,腓特烈斯塔,克里斯蒂安松,1.65,3.66,4.0,0.5366765643901903,0.24194435279885623,0.22137908281095348,胜,0.5366765643901903,0.5366765643901903,0.24194435279885623,0.22137908281095348,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.5366765643901903,0.0,0.5213815789473685,1.0,1000,2026-04-25至2026-08-16,-1.0,3.25,3.3,1.93,0.29352333523492746,0.2436014745361167,0.4628751902289558,负,胜,0.4628751902289558,0.29352333523492746,胜,0.020953630743454632,0.4936246174744934,0.5063753825255067,大于2.5球,0.5063753825255067,胜胜,平胜,0.33419852101367287,0.17664224044795387,平平,胜胜 33.4% / 平胜 17.7% / 平平 14.6%,2-1,0.09730249998785755,1-2,0.05723676469873977,3-0,2-1 9.7% / 1-2 5.7% / 3-0 5.5%,1-0,0.11447352939747954,0-1,0-1,0.06733737023381155,https://m.sporttery.cn/mjc/jsq/zqspf/
周日025,2040910,2026-08-17,西甲,瓦斯科达伽马,桑托斯,瓦斯科达伽马,桑托斯,1.77,3.4,3.7,0.5002584801367957,0.26042867936533187,0.2393128404978725,胜,0.5002584801367957,0.5002584801367957,0.26042867936533187,0.2393128404978725,,,跳过,官方赔率市场基线（球队尚未映射）,,通用/市场模型,市场基线,低,,0.5002584801367957,0.0,0.5213815789473685,1.0,1000,2026-04-25至2026-08-16,-1.0,3.52,3.5,1.79,0.253104726765767,0.24660889878591116,0.5002863744483219,负,胜,0.5002863744483219,0.253104726765767,负,0.005224933787382813,0.5567015381565037,0.44329846184349625,小于2.5球,0.5567015381565037,胜胜,平胜,0.30310025719134276,0.17376486315720394,平平,胜胜 30.3% / 平胜 17.4% / 平平 16.7%,1-0,0.1295682152527078,1-1,0.12308980449007241,2-0,1-0 13.0% / 1-1 12.3% / 2-0 9.7%,1-0,0.1295682152527078,0-1,0-1,0.08205986966004832,https://m.sporttery.cn/mjc/jsq/zqspf/
周日026,2040911,2026-08-17,葡超,法马利康,马里迪莫,法马利康,马里迪莫,1.56,3.52,4.9,0.5676821401300718,0.251586403012191,0.18073145685773714,胜,0.5676821401300718,0.5676821401300718,0.251586403012191,0.18073145685773714,,,观察,官方赔率市场基线（球队尚未映射）,,通用/市场模型,市场基线,低,,0.5676821401300718,0.55,0.6480582524271845,0.412,412,2026-04-25至2026-08-16,-1.0,3.18,3.0,2.08,0.3070907794143981,0.26261571536014683,0.4302935052254551,负,胜,0.4302935052254551,0.3070907794143981,胜,0.028449690570758635,0.5762539055723629,0.4237460944276372,小于2.5球,0.5762539055723629,胜胜,平胜,0.35288155477135225,0.194574298344743,平平,胜胜 35.3% / 平胜 19.5% / 平平 16.6%,1-0,0.14902477065068664,2-0,0.11921981652054923,1-1,1-0 14.9% / 2-0 11.9% / 1-1 11.5%,1-0,0.14902477065068664,0-1,0-1,0.0721838732839264,https://m.sporttery.cn/mjc/jsq/zqspf/
