赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,专用模型联赛,模型类别,胜负模型类别,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周一001,2040914,2026-08-17,芬兰超级联赛,赫尔辛基火花,坦佩雷山猫,赫尔辛基火花,坦佩雷山猫,2.24,3.35,2.6,0.3952264270804973,0.2642708049732281,0.3405027679462746,胜,0.3952264270804973,0.3952264270804973,0.2642708049732281,0.3405027679462746,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.3952264270804973,0.0,0.5214241357896916,1.0,1000,2026-04-22至2026-08-15,-1.0,4.5,4.15,1.5,0.18187800291626732,0.2149273506529402,0.6031946464307925,负,平,0.6031946464307925,0.2149273506529402,负,0.013147253065863507,0.5247236528074737,0.4752763471925263,小于2.5球,0.5247236528074737,胜胜,负负,0.23356818950711222,0.19492449075884524,平平,胜胜 23.4% / 负负 19.5% / 平平 16.3%,1-1,0.12603862138932784,1-0,0.10288867052190037,0-1,1-1 12.6% / 1-0 10.3% / 0-1 9.3%,1-1,0.12603862138932784,1-1,1-1,0.12603862138932784,https://m.sporttery.cn/mjc/jsq/zqspf/
周一002,2040915,2026-08-18,瑞超,赫根,哈尔姆斯塔德,Hacken,Halmstad,1.21,5.6,8.05,0.7514973203824673,0.15955192569017615,0.08895075392735649,胜,0.7514973203824673,0.7318597647593614,0.15813398488550487,0.11000625035513381,胜,0.019637555623105873,跳过,历史数据训练模型,瑞超,瑞超专用模型,瑞超专用模型,正常,,0.7318597647593614,0.675,0.762406015037594,0.137,137,2026-04-22至2026-08-15,-1.0,1.71,4.0,3.4,0.5412625301793129,0.1938758218167258,0.2648616480039612,胜,负,0.5412625301793129,0.2648616480039612,胜,0.02324622790156483,0.3101692616026016,0.6898307383973984,大于2.5球,0.6898307383973984,胜胜,平胜,0.49135183537565397,0.18909381045637141,平平,胜胜 49.1% / 平胜 18.9% / 平平 9.0%,2-1,0.08637768984265619,3-1,0.08192212376691115,3-0,2-1 8.6% / 3-1 8.2% / 3-0 7.7%,2-1,0.08637768984265619,1-2,1-2,0.032283775355315694,https://m.sporttery.cn/mjc/jsq/zqspf/
周一003,2040916,2026-08-18,英格兰冠军联赛,加的夫城,雷克斯汉姆,加的夫城,雷克斯汉姆,2.27,3.3,2.59,0.39419081061650824,0.26766364550940486,0.3381455438740869,胜,0.39419081061650824,0.38996591733470815,0.26824928253023866,0.3417848001350531,,,跳过,官方赔率80% + 欧战历史校准20%（Elo缺失）,,通用/市场模型,欧战校准模型,较低,,0.38996591733470815,0.0,0.5214241357896916,1.0,1000,2026-04-22至2026-08-15,-1.0,4.8,4.15,1.47,0.1740851599408146,0.214770327295907,0.6111445127632785,负,平,0.6111445127632785,0.214770327295907,负,0.008904251550635123,0.5438131272425003,0.4561868727574996,小于2.5球,0.5438131272425003,胜胜,负负,0.22743448098827831,0.19626794880812448,平平,胜胜 22.7% / 负负 19.6% / 平平 16.9%,1-1,0.12813647467053654,1-0,0.10678039555878051,0-1,1-1 12.8% / 1-0 10.7% / 0-1 9.9%,1-1,0.12813647467053654,1-1,1-1,0.12813647467053654,https://m.sporttery.cn/mjc/jsq/zqspf/
周一004,2040922,2026-08-18,西甲,拉科鲁尼亚,埃尔切,拉科鲁尼亚,埃尔切,2.16,2.95,3.05,0.40976887168393483,0.30003415689399976,0.2901969714220654,胜,0.40976887168393483,0.40976887168393483,0.30003415689399976,0.2901969714220654,,,跳过,官方赔率市场基线（球队尚未映射）,,通用/市场模型,市场基线,低,,0.40976887168393483,0.0,0.5214241357896916,1.0,1000,2026-04-22至2026-08-15,-1.0,5.0,3.65,1.53,0.1721032132884835,0.2361343312095074,0.591762455502009,负,平,0.591762455502009,0.2361343312095074,负,0.012112151384109704,0.6563854638787847,0.3436145361212154,小于2.5球,0.6563854638787847,胜胜,平平,0.23508532016982692,0.2078139834438455,负负,胜胜 23.5% / 平平 20.8% / 负负 16.2%,1-0,0.14442542683526566,1-1,0.13359351982262074,0-0,1-0 14.4% / 1-1 13.4% / 0-0 12.6%,1-0,0.14442542683526566,0-1,0-1,0.11616827810662676,https://m.sporttery.cn/mjc/jsq/zqspf/
周一006,2040918,2026-08-18,西甲,巴西国际,里莫,巴西国际,里莫,1.45,3.8,5.7,0.6112600536193029,0.2332439678284182,0.1554959785522788,胜,0.6112600536193029,0.6112600536193029,0.2332439678284182,0.1554959785522788,,,观察,官方赔率市场基线（球队尚未映射）,,通用/市场模型,市场基线,低,,0.6112600536193029,0.55,0.6529535864978903,0.413,413,2026-04-22至2026-08-15,-1.0,2.48,3.3,2.37,0.35045792115873015,0.2615289310524915,0.3880131477887783,负,胜,0.3880131477887783,0.35045792115873015,负,0.014017370321749767,0.5438133036713306,0.4561866963286693,小于2.5球,0.5438133036713306,胜胜,平胜,0.38756562078126294,0.20084195848806494,平平,胜胜 38.8% / 平胜 20.1% / 平平 15.2%,1-0,0.14396763205588772,2-0,0.12597167804890166,1-1,1-0 14.4% / 2-0 12.6% / 1-1 10.8%,1-0,0.14396763205588772,0-1,0-1,0.0617004137382376,https://m.sporttery.cn/mjc/jsq/zqspf/
周六007,2040868,2026-08-15,德国乙级联赛,柏林赫塔,海登海姆,柏林赫塔,海登海姆,2.3,3.4,2.5,0.38513819664703225,0.26053466243769824,0.3543271409152696,胜,0.38513819664703225,0.38513819664703225,0.26053466243769824,0.3543271409152696,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.38513819664703225,0.0,0.5214241357896916,1.0,1000,2026-04-22至2026-08-15,-1.0,4.7,4.0,1.5,0.1785107915422622,0.20896964798796955,0.6125195604697683,负,平,0.6125195604697683,0.20896964798796955,负,0.022252684488606622,0.49976832713052916,0.5002316728694709,大于2.5球,0.5002316728694709,胜胜,负负,0.22836849753693608,0.20541813399436715,平平,胜胜 22.8% / 负负 20.5% / 平平 15.6%,2-1,0.08476172482216163,1-2,0.08013835801368009,2-2,2-1 8.5% / 1-2 8.0% / 2-2 5.5%,1-1,0.12328978155950791,1-1,1-1,0.12328978155950791,https://m.sporttery.cn/mjc/jsq/zqspf/
周六008,2040919,2026-08-15,英格兰冠军联赛,博尔顿,普雷斯顿,博尔顿,普雷斯顿,2.0,3.16,3.2,0.44921327301249125,0.27844223708917293,0.27234448989833576,胜,0.44921327301249125,0.44288717589348287,0.2803083391730904,0.2768044849334268,,,跳过,官方赔率80% + 欧战历史校准20%（Elo缺失）,,通用/市场模型,欧战校准模型,较低,,0.44288717589348287,0.0,0.5214241357896916,1.0,1000,2026-04-22至2026-08-15,-1.0,4.15,3.7,1.62,0.20138082515037573,0.23834666713119285,0.5602725077184315,负,平,0.5602725077184315,0.23834666713119285,负,0.013286186829289282,0.6026790089831755,0.3973209910168245,小于2.5球,0.6026790089831755,胜胜,平平,0.25883500314878216,0.18614437228198993,平胜,胜胜 25.9% / 平平 18.6% / 平胜 16.1%,1-0,0.13369946024634713,1-1,0.13035697374018843,0-0,1-0 13.4% / 1-1 13.0% / 0-0 10.3%,1-0,0.13369946024634713,0-1,0-1,0.1002745951847604,https://m.sporttery.cn/mjc/jsq/zqspf/
周六009,2040869,2026-08-15,瑞超,米亚尔比,天狼星,Mjallby,Sirius,3.15,3.4,1.93,0.33716579399131047,0.23197279076781635,0.43086141524087324,负,0.43086141524087324,0.28100978523863557,0.2603473010299124,0.45864291373145194,胜,0.0561560087526749,观察,历史数据训练模型,瑞超,瑞超专用模型,瑞超专用模型,正常,,0.45864291373145194,0.0,0.5214241357896916,1.0,1000,2026-04-22至2026-08-15,1.0,1.68,3.8,3.7,0.602028143063818,0.20957974041299718,0.18839211652318488,胜,平,0.602028143063818,0.20957974041299718,胜,0.07464629760245267,0.48377227039168935,0.5162277296083106,大于2.5球,0.5162277296083106,胜胜,负负,0.23066724381630574,0.22297943190888378,平胜,胜胜 23.1% / 负负 22.3% / 平胜 14.6%,1-2,0.08536784305561279,2-1,0.07304913395754994,2-2,1-2 8.5% / 2-1 7.3% / 2-2 4.9%,1-1,0.1281934696818556,1-1,1-1,0.1281934696818556,https://m.sporttery.cn/mjc/jsq/zqspf/
周六010,2040870,2026-08-15,英格兰冠军联赛,诺维奇,西布罗姆维奇,诺维奇,西布罗姆维奇,1.83,3.3,3.58,0.4919655052022784,0.2653722332596695,0.2426622615380521,胜,0.4919655052022784,0.4840930324039927,0.2684515906967596,0.24745537689924768,,,跳过,官方赔率80% + 欧战历史校准20%（Elo缺失）,,通用/市场模型,欧战校准模型,较低,,0.4840930324039927,0.0,0.5214241357896916,1.0,1000,2026-04-22至2026-08-15,-1.0,3.65,3.48,1.76,0.2409190079963919,0.24570177175173585,0.5133792202518723,负,平,0.5133792202518723,0.24570177175173585,负,0.010345652998557608,0.5697087740208527,0.43029122597914715,小于2.5球,0.5697087740208527,胜胜,平平,0.29305808420443136,0.17230710400084084,平胜,胜胜 29.3% / 平平 17.2% / 平胜 17.2%,1-0,0.13164936854954679,1-1,0.12506690012206942,2-0,1-0 13.2% / 1-1 12.5% / 2-0 9.5%,1-0,0.13164936854954679,0-1,0-1,0.08625303456694451,https://m.sporttery.cn/mjc/jsq/zqspf/
周六011,2040871,2026-08-15,挪威超级联赛,奥斯陆KFUM,利勒斯特罗姆,奥斯陆KFUM,利勒斯特罗姆,2.75,3.45,2.1,0.32189270243252244,0.2565811396201266,0.4215261579473508,负,0.4215261579473508,0.32189270243252244,0.2565811396201266,0.4215261579473508,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.4215261579473508,0.0,0.5214241357896916,1.0,1000,2026-04-22至2026-08-15,1.0,1.57,3.85,4.3,0.5762832376672343,0.2180692437485764,0.20564751858418923,胜,平,0.5762832376672343,0.2180692437485764,胜,0.012238332128998164,0.48752039841669004,0.51247960158331,大于2.5球,0.51247960158331,负负,胜胜,0.2535237678687198,0.18510063962402412,平平,负负 25.4% / 胜胜 18.5% / 平平 15.2%,1-2,0.0892310574374272,2-1,0.07561954020120949,2-2,1-2 8.9% / 2-1 7.6% / 2-2 5.6%,1-1,0.12099126432193527,1-1,1-1,0.12099126432193527,https://m.sporttery.cn/mjc/jsq/zqspf/
