赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,专用模型联赛,模型类别,胜负模型类别,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周三002,2040938,2026-08-20,西甲,马德里竞技,马拉加,Ath Madrid,Malaga,1.22,4.8,9.85,0.7397776885059557,0.17727632365323115,0.08294598784081314,胜,0.7397776885059557,0.7256764845824444,0.18444277316470462,0.08988074225285098,胜,0.01410120392351133,跳过,历史数据训练模型,西甲,西甲专用模型,西甲专用模型,正常,,0.7256764845824444,0.675,0.7591240875912408,0.137,137,2026-04-26至2026-08-19,-1.0,1.77,3.7,3.4,0.4376639980626734,0.2574539777046458,0.30488202423268096,胜,负,0.4376639980626734,0.30488202423268096,负,0.04445334486734914,0.4261015527279738,0.5738984472720262,大于2.5球,0.5738984472720262,胜胜,平胜,0.4960018381784494,0.23268798319393752,平平,胜胜 49.6% / 平胜 23.3% / 平平 10.2%,3-0,0.12276011045904626,2-1,0.08177393158253421,4-0,3-0 12.3% / 2-1 8.2% / 4-0 7.6%,2-0,0.14935676900034775,0-1,0-1,0.030215450364436028,https://m.sporttery.cn/mjc/jsq/zqspf/
周三003,2040931,2026-08-20,南美解放者杯,波特诺山丘,帕尔梅拉斯,波特诺山丘,帕尔梅拉斯,5.15,3.0,1.66,0.1718485800062114,0.2950067290106629,0.5331446909831258,负,0.5331446909831258,0.1718485800062114,0.2950067290106629,0.5331446909831258,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.5331446909831258,0.0,0.513,1.0,1000,2026-04-26至2026-08-19,1.0,1.96,3.16,3.3,0.4623124219472512,0.260076260879809,0.2776113171729399,胜,负,0.4623124219472512,0.2776113171729399,胜,0.010680518406263051,0.6137486433207253,0.38625135667927457,小于2.5球,0.6137486433207253,负负,平负,0.28830056694434236,0.2075764081999265,平平,负负 28.8% / 平负 20.8% / 平平 20.3%,0-1,0.14087567110281393,1-1,0.12444017614081895,0-2,0-1 14.1% / 1-1 12.4% / 0-2 10.8%,0-1,0.14087567110281393,1-0,1-0,0.06787645971317398,https://m.sporttery.cn/mjc/jsq/zqspf/
周三004,2040932,2026-08-20,美国职业大联盟,纽约红牛,纳什维尔,纽约红牛,纳什维尔,2.8,3.3,2.13,0.3161516664417758,0.26824989879908245,0.4155984347591419,负,0.4155984347591419,0.3161516664417758,0.26824989879908245,0.4155984347591419,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.4155984347591419,0.0,0.513,1.0,1000,2026-04-26至2026-08-19,1.0,1.55,4.0,4.28,0.5742366536519127,0.1891082441569025,0.23665510219118482,胜,负,0.5742366536519127,0.23665510219118482,负,0.02967105999314784,0.3432417397559175,0.6567582602440825,大于2.5球,0.6567582602440825,负负,胜胜,0.22139270236507624,0.1729630487227158,平负,负负 22.1% / 胜胜 17.3% / 平负 16.6%,1-2,0.08786650477088911,2-1,0.08298503228361749,2-2,1-2 8.8% / 2-1 8.3% / 2-2 7.9%,1-1,0.09335816131906968,1-1,1-1,0.09335816131906968,https://m.sporttery.cn/mjc/jsq/zqspf/
周三005,2040933,2026-08-20,美国职业大联盟,科罗拉多急流,洛杉矶FC,科罗拉多急流,洛杉矶FC,2.5,3.3,2.35,0.3544332723948812,0.26851005484460694,0.37705667276051186,负,0.37705667276051186,0.3544332723948812,0.26851005484460694,0.37705667276051186,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.37705667276051186,0.0,0.513,1.0,1000,2026-04-26至2026-08-19,1.0,1.45,4.1,5.1,0.5898859078577904,0.20170140455161953,0.20841268759059017,胜,负,0.5898859078577904,0.20841268759059017,负,0.03483604525482373,0.40021698040197284,0.5997830195980272,大于2.5球,0.5997830195980272,负负,胜胜,0.20751800964306316,0.19531106789935357,平负,负负 20.8% / 胜胜 19.5% / 平负 13.8%,1-2,0.09329800651066104,2-1,0.08780988848062216,2-2,1-2 9.3% / 2-1 8.8% / 2-2 6.2%,1-1,0.10662629315504119,1-1,1-1,0.10662629315504119,https://m.sporttery.cn/mjc/jsq/zqspf/
周三006,2040945,2026-08-20,欧洲冠军联赛,凯尔特人,LASK林茨,凯尔特人,LASK林茨,1.6,3.7,4.3,0.5512447038584901,0.24125365189368048,0.20750164424782955,胜,0.5512447038584901,0.5541623127830025,0.2396377568791362,0.20619993033786138,,,跳过,官方赔率80% + 欧战历史/Elo校准20%,,通用/市场模型,欧战校准模型,中,,0.5541623127830025,0.0,0.513,1.0,1000,2026-04-26至2026-08-19,-1.0,2.9,3.4,2.04,0.3199123360891377,0.2295821326908454,0.4505055312200169,负,胜,0.4505055312200169,0.3199123360891377,负,0.016373794693070876,0.4105235059971313,0.5894764940028688,大于2.5球,0.5894764940028688,胜胜,平胜,0.3320707600812672,0.18655660678722874,平平,胜胜 33.2% / 平胜 18.7% / 平平 13.2%,2-1,0.10664188415688595,3-1,0.06220776575818347,1-2,2-1 10.7% / 3-1 6.2% / 1-2 5.7%,2-1,0.10664188415688595,0-1,0-1,0.05332094207844298,https://m.sporttery.cn/mjc/jsq/zqspf/
周三007,2040946,2026-08-20,欧洲冠军联赛,奈梅亨,博德闪耀,奈梅亨,博德闪耀,2.55,3.47,2.23,0.35147899910348857,0.2552409356422178,0.3932800652542937,负,0.3932800652542937,0.3474190840071656,0.2553079723971966,0.39727294359563775,,,跳过,官方赔率80% + 欧战历史/Elo校准20%,,通用/市场模型,欧战校准模型,中,,0.39727294359563775,0.0,0.513,1.0,1000,2026-04-26至2026-08-19,-1.0,5.25,4.7,1.38,0.18549700015557774,0.16324667635749882,0.6512563234869235,负,胜,0.6512563234869235,0.18549700015557774,胜,0.016617137634096724,0.3056586249531065,0.6943413750468935,大于2.5球,0.6943413750468935,负负,胜胜,0.23394015650303202,0.19773513228232464,平负,负负 23.4% / 胜胜 19.8% / 平负 13.6%,1-2,0.08781091526482417,2-1,0.08069111132443303,2-2,1-2 8.8% / 2-1 8.1% / 2-2 7.5%,1-1,0.09951903730013406,1-1,1-1,0.09951903730013406,https://m.sporttery.cn/mjc/jsq/zqspf/
周三008,2040947,2026-08-20,欧洲冠军联赛,布拉迪斯拉发,采列,布拉迪斯拉发,采列,1.63,3.64,4.15,0.5465881739497319,0.24275126782950418,0.2106605582207638,胜,0.5465881739497319,0.543308984056079,0.24329495714599136,0.21339605879792978,,,跳过,官方赔率80% + 欧战历史/Elo校准20%,,通用/市场模型,欧战校准模型,中,,0.543308984056079,0.0,0.513,1.0,1000,2026-04-26至2026-08-19,-1.0,2.93,3.6,1.96,0.3010498914204203,0.2323945169803276,0.4665555915992521,负,胜,0.4665555915992521,0.3010498914204203,负,0.014759199802517609,0.43706216486353416,0.5629378351364658,大于2.5球,0.5629378351364658,胜胜,平胜,0.3075279599735449,0.18658999818619576,平平,胜胜 30.8% / 平胜 18.7% / 平平 13.7%,2-1,0.10663489058448947,1-2,0.062203686174285525,3-1,2-1 10.7% / 1-2 6.2% / 3-1 5.7%,2-1,0.10663489058448947,0-1,0-1,0.05741878723780203,https://m.sporttery.cn/mjc/jsq/zqspf/
周四001,2040934,2026-08-21,沙特职业联赛,迈季迈阿宽广,利雅得新月,迈季迈阿宽广,利雅得新月,10.0,5.72,1.17,0.08853270963747678,0.1547774644011832,0.75668982596134,负,0.75668982596134,0.08853270963747678,0.1547774644011832,0.75668982596134,,,精选主推,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.75668982596134,0.675,0.7591240875912408,0.137,137,2026-04-26至2026-08-19,2.0,1.98,3.95,2.7,0.48113879312291874,0.20514199244307404,0.3137192144340073,胜,负,0.48113879312291874,0.3137192144340073,胜,0.0336312402528281,0.34404960211726765,0.6559503978827324,大于2.5球,0.6559503978827324,负负,平负,0.5093879376181903,0.20757558457941255,平平,负负 50.9% / 平负 20.8% / 平平 8.5%,1-2,0.09634277633711731,0-3,0.08784194313090109,1-3,1-2 9.6% / 0-3 8.8% / 1-3 8.3%,0-2,0.09955420221502123,2-1,2-1,0.033938932573302695,https://m.sporttery.cn/mjc/jsq/zqspf/
周四002,2040935,2026-08-21,西甲,巴列卡诺,阿拉维斯,Vallecano,Alaves,2.01,2.84,3.58,0.4390006652415703,0.30651573753659445,0.25448359722183533,胜,0.4390006652415703,0.44068413707013876,0.31189264630668273,0.24742321662317843,负,0.007060380598656907,跳过,历史数据训练模型,西甲,西甲专用模型,西甲专用模型,正常,,0.44068413707013876,0.0,0.513,1.0,1000,2026-04-26至2026-08-19,-1.0,4.6,3.4,1.62,0.253187420780322,0.24388860034068086,0.5029239788789972,负,胜,0.5029239788789972,0.253187420780322,胜,0.06060000819290942,0.6368052537529588,0.3631947462470412,小于2.5球,0.6368052537529588,胜胜,平平,0.252991702112279,0.2037626116218473,平胜,胜胜 25.3% / 平平 20.4% / 平胜 16.9%,1-0,0.1741490282663569,0-0,0.13118442722962467,1-1,1-0 17.4% / 0-0 13.1% / 1-1 12.2%,1-0,0.1741490282663569,0-1,0-1,0.11158399069663345,https://m.sporttery.cn/mjc/jsq/zqspf/
周四003,2040936,2026-08-21,南美解放者杯,科林蒂安,罗萨里奥中央,科林蒂安,罗萨里奥中央,1.86,2.67,4.6,0.4759690282977189,0.33157392982537726,0.19245704187690377,胜,0.4759690282977189,0.4759690282977189,0.33157392982537726,0.19245704187690377,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.4759690282977189,0.0,0.513,1.0,1000,2026-04-26至2026-08-19,-1.0,4.12,3.2,1.74,0.22338098375892845,0.26040375481254263,0.5162152614285289,负,平,0.5162152614285289,0.26040375481254263,胜,0.008572798826364608,0.6816551823119095,0.3183448176880906,小于2.5球,0.6816551823119095,胜胜,平平,0.24437810786993572,0.22456366669129224,平胜,胜胜 24.4% / 平平 22.5% / 平胜 19.3%,1-0,0.1589382536390935,0-0,0.13833514668587768,1-1,1-0 15.9% / 0-0 13.8% / 1-1 11.5%,1-0,0.1589382536390935,0-1,0-1,0.09337622401296744,https://m.sporttery.cn/mjc/jsq/zqspf/
