赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周四001,2040832,2026-08-14,沙特职业联赛,艾卜哈,拉斯决心,艾卜哈,拉斯决心,2.4,3.05,2.6,0.36900884132154493,0.2903676128431829,0.3406235458352722,胜,0.36900884132154493,0.36900884132154493,0.2903676128431829,0.3406235458352722,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.36900884132154493,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,5.6,4.05,1.42,0.1500092065582468,0.216915616711982,0.6330751767297713,负,平,0.6330751767297713,0.216915616711982,负,0.009707120219862753,0.6227137530454643,0.37728624695453583,小于2.5球,0.6227137530454643,胜胜,平平,0.20971854374764023,0.19560032243943756,负负,胜胜 21.0% / 平平 19.6% / 负负 19.4%,1-1,0.13404277125083702,1-0,0.1246909500007786,0-1,1-1 13.4% / 1-0 12.5% / 0-1 11.9%,1-1,0.13404277125083702,1-1,1-1,0.13404277125083702,https://m.sporttery.cn/mjc/jsq/zqspf/
周四002,2040821,2026-08-14,欧罗巴联赛,克拉约瓦大学,库奥皮奥,克拉约瓦大学,库奥皮奥,1.33,4.18,7.25,0.6788467277160668,0.20283210769181265,0.1183211645921206,胜,0.6788467277160668,0.6659429668907353,0.21189094401068853,0.12216608909857626,,,高置信主推,官方赔率80% + 欧战历史校准20%（Elo缺失）,较低,,0.6659429668907353,0.6,0.7241746539,0.2303729146,4076,2025-01-01至2026-08-10,-1.0,2.17,3.25,2.77,0.40261745343154637,0.26301466648755883,0.33436788008089474,胜,负,0.40261745343154637,0.33436788008089474,负,0.014757077892903314,0.5374168216770412,0.46258317832295903,小于2.5球,0.5374168216770412,胜胜,平胜,0.4309412763817093,0.21193322349372365,平平,胜胜 43.1% / 平胜 21.2% / 平平 14.2%,1-0,0.15059331813407856,2-0,0.14118123575069855,1-1,1-0 15.1% / 2-0 14.1% / 1-1 9.8%,1-0,0.15059331813407856,0-1,0-1,0.052205683619813946,https://m.sporttery.cn/mjc/jsq/zqspf/
周四003,2040822,2026-08-14,欧罗巴联赛,帕福斯,萨尔茨堡,帕福斯,萨尔茨堡,2.9,3.35,2.06,0.30413494695541254,0.26595719628872194,0.42990785675586557,负,0.42990785675586557,0.30548915449313857,0.26445329791943334,0.4300575475874281,,,跳过,官方赔率80% + 欧战历史校准20%（Elo缺失）,较低,,0.4300575475874281,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,1.0,1.57,3.78,4.4,0.5670191813056011,0.22552528292954332,0.2074555357648556,胜,平,0.5670191813056011,0.22552528292954332,负,0.006109291880290579,0.5247236599104514,0.4752763400895486,小于2.5球,0.5247236599104514,负负,胜胜,0.25813047705904746,0.17323882308188915,平平,负负 25.8% / 胜胜 17.3% / 平平 16.2%,1-1,0.12490748947158642,0-1,0.1086152082361621,1-0,1-1 12.5% / 0-1 10.9% / 1-0 8.8%,1-1,0.12490748947158642,1-1,1-1,0.12490748947158642,https://m.sporttery.cn/mjc/jsq/zqspf/
周四004,2040833,2026-08-14,欧罗巴联赛,雷克雅未克维京人,图恩,雷克雅未克维京人,图恩,2.25,3.65,2.43,0.3967409836129339,0.24245458571316864,0.36080443067389756,胜,0.3967409836129339,0.39333466373977255,0.24246657353821593,0.36419876272201157,,,跳过,官方赔率80% + 欧战历史校准20%（Elo缺失）,较低,,0.39333466373977255,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,4.7,4.15,1.48,0.193756980543786,0.2014936704864609,0.6047493489697531,负,平,0.6047493489697531,0.2014936704864609,负,0.006491519935615142,0.41761250142433964,0.5823874985756604,大于2.5球,0.5823874985756604,胜胜,负负,0.2370452016581924,0.2148911138496868,平平,胜胜 23.7% / 负负 21.5% / 平平 13.4%,2-1,0.08620551214183902,1-2,0.08203427768336294,2-2,2-1 8.6% / 1-2 8.2% / 2-2 6.4%,1-1,0.11123291889269558,1-1,1-1,0.11123291889269558,https://m.sporttery.cn/mjc/jsq/zqspf/
周四005,2040823,2026-08-14,沙特职业联赛,利雅得青年,胡巴尔卡德西亚,利雅得青年,胡巴尔卡德西亚,4.7,4.32,1.46,0.18842536715939914,0.20499982075212406,0.6065748120884766,负,0.6065748120884766,0.18842536715939914,0.20499982075212406,0.6065748120884766,,,高置信主推,官方赔率市场基线（未训练联赛）,低,,0.6065748120884766,0.6,0.7241746539,0.2303729146,4076,2025-01-01至2026-08-10,1.0,2.34,3.4,2.46,0.39415650349339565,0.23159987426101017,0.37424362224559427,胜,负,0.39415650349339565,0.37424362224559427,胜,0.015290384017394132,0.3747116103921958,0.6252883896078042,大于2.5球,0.6252883896078042,负负,平负,0.3956512754730901,0.1781053362220809,平平,负负 39.6% / 平负 17.8% / 平平 11.2%,1-2,0.09937152267876317,1-3,0.07038816189745724,0-3,1-2 9.9% / 1-3 7.0% / 0-3 6.4%,1-2,0.09937152267876317,2-1,2-1,0.05143937644547744,https://m.sporttery.cn/mjc/jsq/zqspf/
周四006,2040824,2026-08-14,欧罗巴联赛,格拉斯哥流浪者,比亚韦斯托克,格拉斯哥流浪者,比亚韦斯托克,1.39,4.25,5.75,0.649559869867244,0.20181451639724587,0.1486256137355102,胜,0.649559869867244,0.6374307140528205,0.20847733941962832,0.15409194652755137,,,高置信主推,官方赔率80% + 欧战历史校准20%（Elo缺失）,较低,,0.6374307140528205,0.6,0.7241746539,0.2303729146,4076,2025-01-01至2026-08-10,-1.0,2.4,3.2,2.5,0.3871185765993331,0.24821308648603477,0.36466833691463213,胜,负,0.3871185765993331,0.36466833691463213,胜,0.018114886562432764,0.4635162435818907,0.5364837564181094,大于2.5球,0.5364837564181094,胜胜,平胜,0.4124910760303727,0.19546239972935792,平平,胜胜 41.2% / 平胜 19.5% / 平平 12.8%,2-1,0.09874155254263355,3-0,0.07647630049870636,3-1,2-1 9.9% / 3-0 7.6% / 3-1 6.5%,1-0,0.1176369948385806,0-1,0-1,0.05062858005711064,https://m.sporttery.cn/mjc/jsq/zqspf/
周四007,2040825,2026-08-14,欧罗巴联赛,安德莱赫特,塞萨洛尼基,安德莱赫特,塞萨洛尼基,2.72,3.23,2.21,0.3260890958242043,0.27493894178593964,0.3989719623898561,负,0.3989719623898561,0.32542819499341236,0.27404479578392626,0.4005270092226614,,,跳过,官方赔率80% + 欧战历史校准20%（Elo缺失）,较低,,0.4005270092226614,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,1.0,1.49,3.8,5.12,0.6016254048041279,0.22111613890096027,0.17725845629491205,胜,平,0.6016254048041279,0.22111613890096027,胜,0.0074910161004988485,0.5697087551886897,0.43029124481131037,小于2.5球,0.5697087551886897,负负,胜胜,0.23263877109765627,0.185397060887788,平平,负负 23.3% / 胜胜 18.5% / 平平 17.7%,1-1,0.1301926102782347,0-1,0.11572676469176418,1-0,1-1 13.0% / 0-1 11.6% / 1-0 10.2%,1-1,0.1301926102782347,1-1,1-1,0.1301926102782347,https://m.sporttery.cn/mjc/jsq/zqspf/
周四008,2040826,2026-08-14,欧罗巴联赛,哈茨,本菲卡,哈茨,本菲卡,5.75,4.65,1.35,0.15002624909829892,0.1922711748060501,0.657702576095651,负,0.657702576095651,0.15394519036233217,0.19036233216847526,0.6556924774691926,,,高置信主推,官方赔率80% + 欧战历史校准20%（Elo缺失）,较低,,0.6556924774691926,0.6,0.7241746539,0.2303729146,4076,2025-01-01至2026-08-10,1.0,2.7,3.62,2.07,0.3470561918152648,0.2318904940561395,0.4210533141285957,负,胜,0.4210533141285957,0.3470561918152648,胜,0.0192092867908516,0.3695683192938027,0.6304316807061975,大于2.5球,0.6304316807061975,负负,平负,0.4348988369421172,0.18638367174554596,平平,负负 43.5% / 平负 18.6% / 平平 10.6%,1-2,0.09898408599211578,0-3,0.07423806449408676,1-3,1-2 9.9% / 0-3 7.4% / 1-3 7.4%,0-2,0.09898408599211578,2-1,2-1,0.043992927107607036,https://m.sporttery.cn/mjc/jsq/zqspf/
周四009,2040827,2026-08-14,南美解放者杯,米拉索尔,基多体育大学,米拉索尔,基多体育大学,1.52,3.35,5.78,0.5825105443343381,0.2643032917576698,0.15318616390799203,胜,0.5825105443343381,0.5825105443343381,0.2643032917576698,0.15318616390799203,,,谨慎主推,官方赔率市场基线（未训练联赛）,低,,0.5825105443343381,0.55,0.6884384384,0.3267909715,4076,2025-01-01至2026-08-10,-1.0,3.05,2.95,2.16,0.3048977242254647,0.2804011364930548,0.4147011392814805,负,胜,0.4147011392814805,0.3048977242254647,胜,0.014700752803399275,0.6563854985647988,0.3436145014352011,小于2.5球,0.6563854985647988,胜胜,平胜,0.35839559572853336,0.20900132585178033,平平,胜胜 35.8% / 平胜 20.9% / 平平 19.2%,1-0,0.18535222047200256,2-0,0.1366972625981018,0-0,1-0 18.5% / 2-0 13.7% / 0-0 12.6%,1-0,0.18535222047200256,0-1,0-1,0.07539751341234006,https://m.sporttery.cn/mjc/jsq/zqspf/
周四010,2040828,2026-08-14,南美解放者杯,罗萨里奥中央,科林蒂安,罗萨里奥中央,科林蒂安,2.08,2.6,3.8,0.4260089686098654,0.34080717488789236,0.23318385650224216,胜,0.4260089686098654,0.4260089686098654,0.34080717488789236,0.23318385650224216,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.4260089686098654,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,5.3,3.3,1.57,0.16731008209103362,0.2616295323762127,0.5710603855327536,负,平,0.5710603855327536,0.2616295323762127,负,0.006721201227126383,0.7703601966006657,0.22963980339933435,小于2.5球,0.7703601966006657,平平,胜胜,0.26322614407795747,0.24228166283006072,平胜,平平 26.3% / 胜胜 24.2% / 平胜 17.5%,1-0,0.19206695703394325,0-0,0.19206695703394325,1-1,1-0 19.2% / 0-0 19.2% / 1-1 12.5%,0-0,0.19206695703394325,0-1,0-1,0.12484352207206313,https://m.sporttery.cn/mjc/jsq/zqspf/
