赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,专用模型联赛,模型类别,胜负模型类别,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周一001,2040914,2026-08-17,芬兰超级联赛,赫尔辛基火花,坦佩雷山猫,赫尔辛基火花,坦佩雷山猫,2.5,3.35,2.32,0.35412584863534885,0.26427302136966324,0.38160112999498796,负,0.38160112999498796,0.35412584863534885,0.26427302136966324,0.38160112999498796,,,跳过,官方赔率市场基线（未训练联赛）,,通用/市场模型,市场基线,低,,0.38160112999498796,0.0,0.52,1.0,1000,2026-04-25至2026-08-17,-1.0,5.15,4.75,1.38,0.15547981210832065,0.20082869808189888,0.6436914898097804,负,平,0.6436914898097804,0.20082869808189888,平,0.01441313853357698,0.5184295914907594,0.4815704085092405,小于2.5球,0.5184295914907594,负负,胜胜,0.2223778318394489,0.20695606919263654,平平,负负 22.2% / 胜胜 20.7% / 平平 16.1%,1-1,0.12557778534379357,0-1,0.09849238066179894,1-0,1-1 12.6% / 0-1 9.8% / 1-0 9.5%,1-1,0.12557778534379357,1-1,1-1,0.12557778534379357,https://m.sporttery.cn/mjc/jsq/zqspf/
周一002,2040915,2026-08-18,瑞超,赫根,哈尔姆斯塔德,Hacken,Halmstad,1.22,5.4,8.05,0.7365254421839357,0.16935488580438732,0.09411967201167698,胜,0.7365254421839357,0.7259640274553684,0.1640140950917684,0.11002187745286326,胜,0.010561414728567309,跳过,历史数据训练模型,瑞超,瑞超专用模型,瑞超专用模型,正常,,0.7259640274553684,0.675,0.7591240875912408,0.137,137,2026-04-25至2026-08-17,-1.0,1.71,4.0,3.4,0.5175439195416617,0.2022430554623036,0.2802130249960348,胜,负,0.5175439195416617,0.2802130249960348,负,0.019681296497520262,0.3246167496990504,0.6753832503009496,大于2.5球,0.6753832503009496,胜胜,平胜,0.4794662873952588,0.1852901590740111,平平,胜胜 47.9% / 平胜 18.5% / 平平 9.7%,2-1,0.09058058203511946,3-1,0.08090800438318022,3-0,2-1 9.1% / 3-1 8.1% / 3-0 8.0%,2-1,0.09058058203511946,1-2,1-2,0.03426199974653738,https://m.sporttery.cn/mjc/jsq/zqspf/
周一003,2040916,2026-08-18,英格兰冠军联赛,加的夫城,雷克斯汉姆,加的夫城,雷克斯汉姆,2.37,3.14,2.57,0.37768329596495853,0.2814162848111253,0.3409004192239161,胜,0.37768329596495853,0.3735586159009374,0.2819534776067585,0.3444879064923042,,,跳过,官方赔率80% + 欧战历史校准20%（Elo缺失）,,通用/市场模型,欧战校准模型,较低,,0.3735586159009374,0.0,0.52,1.0,1000,2026-04-25至2026-08-17,-1.0,5.15,4.25,1.43,0.1555601273709005,0.21492331388241565,0.6295165587466839,负,平,0.6295165587466839,0.21492331388241565,负,0.009991798985011568,0.596038830672274,0.4039611693277259,小于2.5球,0.596038830672274,胜胜,负负,0.2131430198193696,0.19721384889791246,平平,胜胜 21.3% / 负负 19.7% / 平平 18.6%,1-1,0.13258161073676705,1-0,0.11785032065490406,0-1,1-1 13.3% / 1-0 11.8% / 0-1 11.3%,1-1,0.13258161073676705,1-1,1-1,0.13258161073676705,https://m.sporttery.cn/mjc/jsq/zqspf/
周一004,2040922,2026-08-18,西甲,拉科鲁尼亚,埃尔切,拉科鲁尼亚,埃尔切,1.98,2.9,3.6,0.44787644787644787,0.30579150579150577,0.24633204633204633,胜,0.44787644787644787,0.44787644787644787,0.30579150579150577,0.24633204633204633,,,跳过,官方赔率市场基线（球队尚未映射）,,通用/市场模型,市场基线,低,,0.44787644787644787,0.0,0.52,1.0,1000,2026-04-25至2026-08-17,-1.0,4.6,3.4,1.62,0.19047590861649766,0.25453481912221226,0.55498927226129,负,平,0.55498927226129,0.25453481912221226,负,0.008136125408143235,0.696967017290511,0.3030329827094889,小于2.5球,0.696967017290511,胜胜,平平,0.2572193517043815,0.22341568133042675,平胜,胜胜 25.7% / 平平 22.3% / 平胜 17.2%,1-0,0.1677926208572072,0-0,0.14590662683235417,1-1,1-0 16.8% / 0-0 14.6% / 1-1 13.0%,1-0,0.1677926208572072,0-1,0-1,0.11307763579507449,https://m.sporttery.cn/mjc/jsq/zqspf/
周一006,2040918,2026-08-18,西甲,巴西国际,里莫,巴西国际,里莫,1.43,3.85,5.9,0.6196549137284322,0.2301575393848462,0.15018754688672167,胜,0.6196549137284322,0.6196549137284322,0.2301575393848462,0.15018754688672167,,,观察,官方赔率市场基线（球队尚未映射）,,通用/市场模型,市场基线,低,,0.6196549137284322,0.55,0.644927536231884,0.414,414,2026-04-25至2026-08-17,-1.0,2.5,3.15,2.43,0.3552591816385219,0.26328624041329696,0.3814545779481812,负,胜,0.3814545779481812,0.3552591816385219,负,0.016947183655325604,0.5502420397437624,0.4497579602562376,小于2.5球,0.5502420397437624,胜胜,平胜,0.39217752872945033,0.2032242179413492,平平,胜胜 39.2% / 平胜 20.3% / 平平 15.2%,1-0,0.1476117951327446,2-0,0.1291603207411515,1-1,1-0 14.8% / 2-0 12.9% / 1-1 10.7%,1-0,0.1476117951327446,0-1,0-1,0.06115345798356565,https://m.sporttery.cn/mjc/jsq/zqspf/
