赛事编号,比赛ID,比赛时间,联赛,主队,客队,主队模型名,客队模型名,官方胜奖金,官方平奖金,官方负奖金,模型主胜概率,模型平局概率,模型客胜概率,胜平负首选,胜平负首选概率,市场去水主胜概率,市场去水平局概率,市场去水客胜概率,最大价值方向,最大概率优势,建议状态,预测依据,置信等级,估算球队,市场最高概率,市场筛选阈值,同阈值历史命中率,同阈值历史覆盖率,筛选回测样本数,筛选回测期间,官方让球数,官方让胜奖金,官方让平奖金,官方让负奖金,模型让胜概率,模型让平概率,模型让负概率,让球首选,让球次选,让球首选概率,让球次选概率,让球最大价值方向,让球最大概率优势,小于2.5球概率,大于2.5球概率,大小球首选,大小球首选概率,半全场首选,半全场次选,半全场首选概率,半全场次选概率,半全场第三选择,半全场Top3,首选比分,首选比分概率,次选比分,次选比分概率,第三比分,最可能比分Top3,原始最高概率比分,原始最高概率比分概率,爆冷比分,比分爆冷,爆冷比分概率,数据来源
周五014,2040855,2026-08-15,法国乙级联赛,兰斯,敦刻尔克,兰斯,敦刻尔克,1.68,3.4,4.2,0.5279503105590062,0.2608695652173913,0.21118012422360247,胜,0.5279503105590062,0.5279503105590062,0.2608695652173913,0.21118012422360247,,,观察,官方赔率市场基线（未训练联赛）,低,,0.5279503105590062,0.5,0.6382047072,0.4482335623,4076,2025-01-01至2026-08-10,-1.0,3.27,3.3,1.92,0.26876073334227757,0.25607060136583115,0.47516866529189133,负,胜,0.47516866529189133,0.26876073334227757,负,0.014121214703565532,0.5828248324421369,0.417175167557863,小于2.5球,0.5828248324421369,胜胜,平胜,0.3194966254641092,0.1834885846149049,平平,胜胜 31.9% / 平胜 18.3% / 平平 17.3%,1-0,0.14319068182214412,1-1,0.1217120795488225,2-0,1-0 14.3% / 1-1 12.2% / 2-0 10.7%,1-0,0.14319068182214412,0-1,0-1,0.08114138636588174,https://m.sporttery.cn/mjc/jsq/zqspf/
周五015,2040856,2026-08-15,法国乙级联赛,圣埃蒂安,克莱蒙,圣埃蒂安,克莱蒙,1.33,4.4,6.7,0.6663200958343692,0.2014103926044798,0.1322695115611509,胜,0.6663200958343692,0.6663200958343692,0.2014103926044798,0.1322695115611509,,,高置信主推,官方赔率市场基线（未训练联赛）,低,,0.6663200958343692,0.6,0.7241746539,0.2303729146,4076,2025-01-01至2026-08-10,-1.0,2.2,3.28,2.7,0.41426752868983147,0.24983325703941572,0.33589921427075287,胜,负,0.41426752868983147,0.33589921427075287,胜,0.011941524692012095,0.469454410342091,0.5305455896579089,大于2.5球,0.5305455896579089,胜胜,平胜,0.43562141434123375,0.2020590661213281,平平,胜胜 43.6% / 平胜 20.2% / 平平 12.5%,2-1,0.09709852012224171,3-0,0.08456967881614594,3-1,2-1 9.7% / 3-0 8.5% / 3-1 6.6%,2-0,0.12528841306095706,0-1,0-1,0.04735791257295746,https://m.sporttery.cn/mjc/jsq/zqspf/
周五016,2040859,2026-08-15,英格兰冠军联赛,伍尔弗汉普顿,布莱克本,伍尔弗汉普顿,布莱克本,1.38,4.05,6.35,0.654428359020877,0.21051440251096137,0.13505723846816176,胜,0.654428359020877,0.6418223336952047,0.2186950174072549,0.13948264889754053,,,高置信主推,官方赔率80% + 欧战历史校准20%（Elo缺失）,较低,,0.6418223336952047,0.6,0.7241746539,0.2303729146,4076,2025-01-01至2026-08-10,-1.0,2.3,3.4,2.5,0.38092451036046776,0.2597895895401593,0.359285900099373,胜,负,0.38092451036046776,0.359285900099373,负,0.0049587591841033785,0.5247239593175604,0.47527604068243956,小于2.5球,0.5247239593175604,胜胜,平胜,0.41182332118430287,0.20480598682287324,平平,胜胜 41.2% / 平胜 20.5% / 平平 14.2%,1-0,0.14130769302948276,2-0,0.1307096160522715,1-1,1-0 14.1% / 2-0 13.1% / 1-1 10.2%,1-0,0.14130769302948276,0-1,0-1,0.05537733916020272,https://m.sporttery.cn/mjc/jsq/zqspf/
周五017,2040857,2026-08-15,葡超,里斯本竞技,吉马良斯,Sp Lisbon,Guimaraes,1.19,5.3,10.0,0.7443088413657469,0.16711840225275978,0.08857275638149326,胜,0.7443088413657469,0.7443088460404172,0.16711840128077293,0.08857275267880967,负,3.7026835902898014e-09,跳过,历史数据训练模型,正常,,0.7443088460404172,0.7,0.8081841432,0.0959273798,4076,2025-01-01至2026-08-10,-2.0,2.98,4.05,1.83,0.27017403987048755,0.212917309791525,0.5169086503379874,负,胜,0.5169086503379874,0.27017403987048755,负,0.032868849103523556,0.41025281437631633,0.5897471856236837,大于2.5球,0.5897471856236837,胜胜,平胜,0.5047900404568849,0.21982549709597382,负胜,胜胜 50.5% / 平胜 22.0% / 负胜 8.2%,3-0,0.146751791642714,4-0,0.10207433230871865,2-1,3-0 14.7% / 4-0 10.2% / 2-1 6.6%,2-0,0.15823827496523604,0-1,0-1,0.01931705389416011,https://m.sporttery.cn/mjc/jsq/zqspf/
周六001,2040862,2026-08-15,日职,鹿岛鹿角,名古屋鲸八,Kashima Antlers,Nagoya Grampus,1.77,3.35,3.77,0.5005634465173079,0.27344691788709086,0.22598963559560128,胜,0.5005634465173079,0.5005370186153243,0.26446284267138026,0.2350001387132955,平,0.008984075215710596,跳过,历史数据训练模型,正常,,0.5005370186153243,0.5,0.6382047072,0.4482335623,4076,2025-01-01至2026-08-10,-1.0,3.55,3.4,1.81,0.2605980535195106,0.23806744713051453,0.501334499349975,负,胜,0.501334499349975,0.2605980535195106,负,0.011669394581115544,0.5037503688350073,0.49624963116499266,小于2.5球,0.5037503688350073,胜胜,平平,0.2770660964666495,0.21411045398980996,平胜,胜胜 27.7% / 平平 21.4% / 平胜 19.4%,1-1,0.11568968203576395,1-0,0.11275798938619006,2-0,1-1 11.6% / 1-0 11.3% / 2-0 9.4%,1-1,0.11568968203576395,0-1,0-1,0.06934411527787702,https://m.sporttery.cn/mjc/jsq/zqspf/
周六002,2040863,2026-08-15,日本乙级联赛,秋田蓝色闪电,富山胜利,秋田蓝色闪电,富山胜利,2.53,3.04,2.47,0.35007529453450265,0.2913455576224644,0.358579147843033,负,0.358579147843033,0.35007529453450265,0.2913455576224644,0.358579147843033,,,跳过,官方赔率市场基线（未训练联赛）,低,,0.358579147843033,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,1.0,1.4,4.0,6.05,0.6384556010787681,0.21408750753168024,0.1474568913895518,胜,平,0.6384556010787681,0.21408750753168024,胜,0.006106502568185346,0.6160180606310344,0.3839819393689656,小于2.5球,0.6160180606310344,负负,胜胜,0.20652604947220116,0.19849416469003897,平平,负负 20.7% / 胜胜 19.8% / 平平 19.3%,1-1,0.13377614259488044,0-1,0.12161467508625493,1-0,1-1 13.4% / 0-1 12.2% / 1-0 11.9%,1-1,0.13377614259488044,1-1,1-1,0.13377614259488044,https://m.sporttery.cn/mjc/jsq/zqspf/
周六003,2040864,2026-08-15,日职,浦和红钻,广岛三箭,Urawa Reds,Sanfrecce Hiroshima,3.6,3.35,1.81,0.2946534208994403,0.2565588509260366,0.44878772817452306,负,0.44878772817452306,0.24608859757706122,0.2644534182917673,0.48945798413117153,胜,0.048564823322379075,观察,历史数据训练模型,正常,,0.48945798413117153,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,1.0,1.77,3.5,3.6,0.5941039468958288,0.21071005825503294,0.19518599484913815,胜,平,0.5941039468958288,0.21071005825503294,胜,0.09344832644047052,0.5024160128187566,0.4975839871812434,小于2.5球,0.5024160128187566,负负,胜胜,0.24855141491171387,0.1766883356394517,平负,负负 24.9% / 胜胜 17.7% / 平负 16.7%,1-1,0.1120547356722828,0-1,0.08917047648638331,0-2,1-1 11.2% / 0-1 8.9% / 0-2 7.5%,1-1,0.1120547356722828,2-1,2-1,0.07040594758121857,https://m.sporttery.cn/mjc/jsq/zqspf/
周六004,2040865,2026-08-15,日职,神户胜利船,东京FC,Vissel Kobe,FC Tokyo,2.13,3.12,2.95,0.4221268756403803,0.2755170299103899,0.30235609444922984,胜,0.4221268756403803,0.4158477574311778,0.2838960651693617,0.3002561773994606,胜,0.006279118209202517,跳过,历史数据训练模型,正常,,0.4158477574311778,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,4.9,3.7,1.53,0.20013640546486722,0.22147820569520577,0.5783853888399271,负,平,0.5783853888399271,0.22147820569520577,胜,0.019204418760699504,0.5892793764923558,0.41072062350764416,小于2.5球,0.5892793764923558,胜胜,平平,0.1979605879694311,0.19106000843780696,负负,胜胜 19.8% / 平平 19.1% / 负负 16.8%,1-0,0.1432481417565345,1-1,0.12527539794642112,2-0,1-0 14.3% / 1-1 12.5% / 2-0 10.2%,1-0,0.1432481417565345,1-1,1-1,0.12527539794642112,https://m.sporttery.cn/mjc/jsq/zqspf/
周六005,2040866,2026-08-15,韩职,首尔FC,大田市民,Seoul,Daejeon,1.86,3.35,3.42,0.4709805153314371,0.27194434259990397,0.25707514206865895,胜,0.4709805153314371,0.4763983833142059,0.2645077590938576,0.25909385759193654,平,0.007436583506046368,跳过,历史数据训练模型,正常,,0.4763983833142059,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,-1.0,3.75,3.55,1.72,0.21295023528328424,0.21231809341789962,0.5747316712988161,负,胜,0.5747316712988161,0.21295023528328424,负,0.06010964064377233,0.5374160062386738,0.4625839937613262,小于2.5球,0.5374160062386738,负负,平负,0.20618903535031416,0.19396880495739066,胜负,负负 20.6% / 平负 19.4% / 胜负 13.0%,1-1,0.1376544720221978,1-0,0.09855812347790066,0-0,1-1 13.8% / 1-0 9.9% / 0-0 9.1%,1-1,0.1376544720221978,0-1,0-1,0.07986562979429655,https://m.sporttery.cn/mjc/jsq/zqspf/
周六006,2040867,2026-08-15,韩职,光州FC,浦项制铁,Gwangju FC,Pohang,3.85,3.02,1.86,0.22229014619902607,0.3034642867343805,0.47424556706659354,负,0.47424556706659354,0.23016406339632536,0.29342107419730223,0.4764148624063724,平,0.010043212537078239,跳过,历史数据训练模型,正常,,0.4764148624063724,0.0,0.5252698724,1.0,4076,2025-01-01至2026-08-10,1.0,1.72,3.35,4.0,0.5683460899681432,0.22006114483107997,0.21159276520077697,胜,平,0.5683460899681432,0.22006114483107997,胜,0.05379267625183881,0.6015556862082255,0.3984443137917745,小于2.5球,0.6015556862082255,平负,负负,0.23973087792215725,0.2354775912224375,平平,平负 24.0% / 负负 23.5% / 平平 19.7%,1-1,0.13887011395862267,0-1,0.0915240513973829,0-0,1-1 13.9% / 0-1 9.2% / 0-0 9.1%,1-1,0.13887011395862267,1-0,1-0,0.0870538720962033,https://m.sporttery.cn/mjc/jsq/zqspf/
