Date,Home,Away,HG,AG,1,X,2,Season,Result,HTR,Week,HW,AW,HL,AL,HGF,AGF,HAGF,HGA,AGA,HAGA,HGD,AGD,HAGD,HWGD,AWGD,HAWGD,HLGD,ALGD,HALGD,HW%,HL%,AW%,AL%
2026-07-25,Sangmu,Daejeon,3,2,2.8,3.1,2.25,2026,H,H,116,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.3,44.4,22.2
2026-07-22,Bucheon,Anyang,2,3,2.75,2.85,2.45,2026,A,D,112,0.0,1.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,3.0,-2.0,1.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,11.1,44.4,44.4,11.1
2026-07-22,Gwangju FC,Sangmu,1,1,4.1,3.3,1.77,2026,D,D,113,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,2.0,1.0,-3.0,-2.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,11.1,55.6,22.2,33.3
2026-07-22,Seoul,Pohang,3,1,1.77,3.2,4.1,2026,H,H,114,0.0,0.0,0.0,1.0,0.0,1.0,-1.0,0.0,2.0,-2.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,25.0,50.0,30.0
2026-07-21,Jeju,Gangwon,1,1,3.2,3.0,2.1,2026,D,D,109,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,40.0,44.4,22.2
2026-07-21,Jeonbuk,Daejeon,0,0,1.85,3.3,3.8,2026,D,D,110,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,37.5,50.0,25.0
2026-07-21,Ulsan,Incheon,1,2,2.15,3.05,3.05,2026,A,D,111,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,-2.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,1.0,44.4,44.4,37.5,25.0
2026-07-19,Anyang,Gwangju FC,1,1,1.58,3.4,5.2,2026,D,D,107,0.0,0.0,1.0,1.0,2.0,0.0,2.0,3.0,4.0,-1.0,-1.0,-4.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,12.5,37.5,0.0,75.0
2026-07-19,Bucheon,Seoul,1,3,4.5,3.2,1.7,2026,A,A,108,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,12.5,37.5,77.8,11.1
2026-07-18,Daejeon,Ulsan,2,2,2.25,3.1,2.8,2026,D,H,103,0.0,0.0,0.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.6,50.0,25.0
2026-07-18,Gangwon,Sangmu,2,0,1.82,3.2,3.8,2026,H,H,104,1.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,1.0,-1.0,2.0,-1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,37.5,12.5,25.0,25.0
2026-07-18,Incheon,Jeonbuk,1,0,2.9,3.05,2.2,2026,H,H,105,0.0,1.0,1.0,0.0,0.0,3.0,-3.0,1.0,1.0,0.0,-1.0,2.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,33.3,66.7,33.3,11.1
2026-07-18,Jeju,Pohang,2,1,2.85,2.9,2.35,2026,H,A,106,0.0,1.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,22.2,44.4,55.6,22.2
2026-07-12,Incheon,Anyang,0,1,1.97,3.2,3.3,2026,A,A,100,1.0,1.0,0.0,0.0,4.0,2.0,2.0,0.0,1.0,-1.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,37.5,62.5,37.5,12.5
2026-07-12,Jeju,Daejeon,0,0,2.6,3.1,2.4,2026,D,D,101,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,-1.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,25.0,50.0,57.1,28.6
2026-07-12,Seoul,Gangwon,0,0,2.35,2.85,2.9,2026,D,D,102,1.0,1.0,0.0,0.0,1.0,2.0,-1.0,0.0,1.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.1,28.6,50.0,25.0
2026-07-11,Gwangju FC,Pohang,0,3,5.2,3.4,1.58,2026,A,A,97,0.0,1.0,0.0,0.0,1.0,3.0,-2.0,1.0,2.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,50.0,50.0,25.0
2026-07-11,Sangmu,Bucheon,1,1,1.97,3.1,3.4,2026,D,D,98,0.0,0.0,0.0,0.0,1.0,2.0,-1.0,1.0,2.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.5,37.5,37.5
2026-07-11,Ulsan,Jeonbuk,1,3,2.55,3.1,2.4,2026,A,A,99,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,37.5,25.0,12.5
2026-07-05,Gwangju FC,Ulsan,1,1,6.0,3.7,1.45,2026,D,D,94,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,-1.0,-1.0,-2.0,1.0,0.0,0.0,0.0,0.0,1.0,-1.0,14.3,57.1,57.1,28.6
2026-07-05,Sangmu,Jeju,1,1,2.2,3.1,2.8,2026,D,D,95,0.0,0.0,1.0,1.0,0.0,1.0,-1.0,3.0,2.0,1.0,-3.0,-1.0,-2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,42.9,42.9,42.9
2026-07-05,Seoul,Incheon,1,0,1.82,3.2,3.8,2026,H,D,96,0.0,1.0,0.0,0.0,0.0,3.0,-3.0,0.0,0.0,0.0,0.0,3.0,-3.0,0.0,1.0,-1.0,0.0,0.0,0.0,50.0,33.3,42.9,14.3
2026-07-04,Anyang,Pohang,2,3,2.75,2.85,2.4,2026,A,D,91,0.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,2.0,0.0,0.0,-2.0,2.0,0.0,0.0,0.0,0.0,1.0,-1.0,14.3,28.6,42.9,28.6
2026-07-04,Daejeon,Bucheon,2,2,1.7,3.2,4.4,2026,D,D,92,0.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.5,42.9,42.9
2026-07-04,Jeonbuk,Gangwon,1,2,2.1,2.95,3.1,2026,A,A,93,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,71.4,28.6,42.9,28.6
2026-05-17,Bucheon,Pohang,2,0,3.2,2.95,2.1,2026,H,D,87,0.0,1.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,50.0,16.7
2026-05-17,Gangwon,Ulsan,2,0,2.2,3.05,2.95,2026,H,H,88,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0,2.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,28.6,14.3,66.7,16.7
2026-05-17,Jeju,Anyang,1,2,2.3,3.0,2.75,2026,A,A,89,1.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.6,42.9,28.6,14.3
2026-05-17,Jeonbuk,Sangmu,1,0,1.67,3.4,4.3,2026,H,D,90,1.0,0.0,0.0,0.0,4.0,2.0,2.0,0.0,2.0,-2.0,4.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,66.7,33.3,28.6,14.3
2026-05-16,Daejeon,Seoul,1,2,2.65,2.95,2.45,2026,A,A,85,0.0,1.0,1.0,0.0,0.0,1.0,-1.0,2.0,0.0,2.0,-2.0,1.0,-3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,57.1,75.0,12.5
2026-05-16,Incheon,Gwangju FC,4,0,1.48,3.6,6.5,2026,H,H,86,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,4.0,-3.0,-1.0,-4.0,3.0,0.0,0.0,0.0,0.0,1.0,-1.0,28.6,71.4,0.0,71.4
2026-05-13,Anyang,Sangmu,2,2,2.35,3.05,2.7,2026,D,H,82,0.0,1.0,0.0,0.0,1.0,3.0,-2.0,1.0,2.0,-1.0,0.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,33.3,33.3,16.7
2026-05-13,Bucheon,Jeonbuk,0,0,4.2,3.2,1.77,2026,D,D,83,0.0,0.0,1.0,0.0,0.0,1.0,-1.0,1.0,1.0,0.0,-1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,28.6,14.3
2026-05-13,Ulsan,Jeju,2,1,1.85,3.3,3.7,2026,H,H,84,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.9,42.9,50.0,33.3
