Date,Home,Away,SourceHome,SourceAway,HG,AG,HTHG,HTAG,MatchScore
2018-05-13,Djurgarden,Dalkurd,Djurgården,Dalkurd FF,1,0,0,0,0.9375
2018-05-12,Sundsvall,Brommapojkarna,GIF Sundsvall,IF Brommapojkarna,3,0,2,0,0.8952380952380952
2018-05-06,Trelleborgs,Hacken,Trelleborgs FF,BK Häcken,0,3,0,2,0.8869047619047619
2018-05-06,Elfsborg,AIK,IF Elfsborg,AIK,0,0,0,0,0.9444444444444444
2018-05-06,Dalkurd,Kalmar,Dalkurd FF,Kalmar FF,1,2,1,1,0.8660714285714286
2018-05-06,Brommapojkarna,Djurgarden,IF Brommapojkarna,Djurgården,1,0,1,0,0.9666666666666667
2018-05-05,Ostersunds,Norrkoping,Östersunds FK,IFK Norrköping,0,2,0,2,0.8893280632411067
2018-05-05,Hammarby,Sundsvall,Hammarby IF,GIF Sundsvall,4,3,3,0,0.873015873015873
2018-04-30,Brommapojkarna,Ostersunds,IF Brommapojkarna,Östersunds FK,0,4,0,1,0.9212121212121211
2018-04-29,Sundsvall,Elfsborg,GIF Sundsvall,IF Elfsborg,2,1,1,0,0.873015873015873
2018-04-29,Norrkoping,Trelleborgs,IFK Norrköping,Trelleborgs FF,1,2,0,0,0.8931159420289855
2018-04-29,Kalmar,Malmo FF,Kalmar FF,Malmö FF,3,0,3,0,0.9285714285714286
2018-04-29,Djurgarden,Hammarby,Djurgården,Hammarby IF,1,2,0,1,0.9444444444444444
2018-04-28,Goteborg,Hacken,IFK Göteborg,BK Häcken,2,1,1,0,0.849624060150376
2018-04-22,Trelleborgs,Kalmar,Trelleborgs FF,Kalmar FF,0,1,0,0,0.8869047619047619
2018-04-22,Hacken,Hammarby,BK Häcken,Hammarby IF,2,2,1,2,0.873015873015873
2018-04-22,Dalkurd,Sundsvall,Dalkurd FF,GIF Sundsvall,2,2,2,1,0.8660714285714286
2018-04-22,AIK,Goteborg,AIK,IFK Göteborg,2,0,1,0,0.9210526315789473
2018-04-21,Ostersunds,Orebro,Östersunds FK,Orebro SK,0,2,0,1,0.8831168831168831
2018-04-15,Ostersunds,Goteborg,Östersunds FK,IFK Göteborg,2,1,0,0,0.8755980861244019
2018-04-15,Norrkoping,Kalmar,IFK Norrköping,Kalmar FF,3,1,1,1,0.8633540372670807
2018-04-15,AIK,Djurgarden,AIK,Djurgården,2,0,1,0,1.0
2018-04-14,Hacken,Dalkurd,BK Häcken,Dalkurd FF,3,0,1,0,0.8660714285714286
2018-04-14,Elfsborg,Sirius,IF Elfsborg,IK Sirius,0,1,0,0,0.873015873015873
2018-04-08,Kalmar,Elfsborg,Kalmar FF,IF Elfsborg,1,0,1,0,0.873015873015873
2018-04-08,Djurgarden,Trelleborgs,Djurgården,Trelleborgs FF,1,1,1,0,0.9583333333333333
2018-04-08,Dalkurd,Ostersunds,Dalkurd FF,Östersunds FK,3,0,1,0,0.8920454545454546
2018-04-07,Orebro,Norrkoping,Orebro SK,IFK Norrköping,1,1,0,0,0.8633540372670807
2018-04-02,Sundsvall,Orebro,GIF Sundsvall,Orebro SK,0,0,0,0,0.8571428571428571
2018-04-02,Norrkoping,Brommapojkarna,IFK Norrköping,IF Brommapojkarna,2,1,1,0,0.9014492753623189
2018-04-02,Elfsborg,Malmo FF,IF Elfsborg,Malmö FF,1,2,1,2,0.9444444444444444
2018-04-02,AIK,Dalkurd,AIK,Dalkurd FF,2,0,1,0,0.9375
2018-04-01,Trelleborgs,Goteborg,Trelleborgs FF,IFK Göteborg,1,3,1,1,0.8793859649122806
2018-04-01,Ostersunds,Djurgarden,Östersunds FK,Djurgården,0,1,0,1,0.9545454545454546
2018-04-01,Hammarby,Sirius,Hammarby IF,IK Sirius,3,1,1,0,0.873015873015873
2018-04-01,Hacken,Kalmar,BK Häcken,Kalmar FF,1,0,0,0,0.8571428571428571
2017-11-19,Jonkopings,Trelleborgs,Jonkopings Sodra,Trelleborgs FF,1,1,1,1,0.8583333333333334
2017-11-05,Orebro,AIK,Orebro SK,AIK,1,2,0,2,0.9285714285714286
2017-11-05,Malmo FF,Hacken,Malmö FF,BK Häcken,1,2,0,1,0.9285714285714286
2017-11-05,Kalmar,Djurgarden,Kalmar FF,Djurgården,0,2,0,2,0.9285714285714286
2017-11-05,Jonkopings,Ostersunds,Jonkopings Sodra,Östersunds FK,0,0,0,0,0.8545454545454545
2017-11-05,Hammarby,Halmstad,Hammarby IF,Halmstads BK,1,3,1,1,0.8654970760233918
2017-11-05,Goteborg,Sundsvall,IFK Göteborg,GIF Sundsvall,0,3,0,2,0.849624060150376
2017-11-05,Elfsborg,Norrkoping,IF Elfsborg,IFK Norrköping,3,3,1,1,0.8792270531400965
2017-11-05,AFC Eskilstuna,Sirius,AFC Eskilstuna,IK Sirius,1,3,0,0,0.9285714285714286
2017-10-29,Sundsvall,Hammarby,GIF Sundsvall,Hammarby IF,1,4,1,1,0.873015873015873
2017-10-29,Sirius,Malmo FF,IK Sirius,Malmö FF,0,4,0,2,0.9285714285714286
2017-10-28,Ostersunds,Elfsborg,Östersunds FK,IF Elfsborg,4,1,3,0,0.898989898989899
2017-10-28,Halmstad,AFC Eskilstuna,Halmstads BK,AFC Eskilstuna,1,1,1,1,0.9210526315789473
2017-10-22,Sundsvall,Norrkoping,GIF Sundsvall,IFK Norrköping,2,2,1,0,0.8633540372670807
2017-10-22,Goteborg,Ostersunds,IFK Göteborg,Östersunds FK,0,1,0,1,0.8755980861244019
2017-10-22,Djurgarden,Hacken,Djurgården,BK Häcken,1,1,1,1,0.9285714285714286
2017-10-21,AFC Eskilstuna,Elfsborg,AFC Eskilstuna,IF Elfsborg,2,3,1,1,0.9444444444444444
2017-10-15,Sirius,Djurgarden,IK Sirius,Djurgården,2,0,1,0,0.9285714285714286
2017-10-15,Elfsborg,Sundsvall,IF Elfsborg,GIF Sundsvall,2,1,0,1,0.873015873015873
2017-10-15,AIK,Jonkopings,AIK,Jonkopings Sodra,2,0,0,0,0.9
2017-10-14,Ostersunds,Orebro,Östersunds FK,Orebro SK,3,0,3,0,0.8831168831168831
2017-10-14,Halmstad,Goteborg,Halmstads BK,IFK Göteborg,1,2,1,0,0.8421052631578947
2017-10-14,Hacken,AFC Eskilstuna,BK Häcken,AFC Eskilstuna,3,0,1,0,0.9285714285714286
2017-10-01,Sundsvall,Djurgarden,GIF Sundsvall,Djurgården,0,5,0,2,0.9285714285714286
2017-10-01,Ostersunds,Hacken,Östersunds FK,BK Häcken,0,0,0,0,0.8831168831168831
2017-10-01,Orebro,Kalmar,Orebro SK,Kalmar FF,1,0,1,0,0.8571428571428571
2017-10-01,Malmo FF,Halmstad,Malmö FF,Halmstads BK,2,0,0,0,0.9210526315789473
2017-10-01,Hammarby,Norrkoping,Hammarby IF,IFK Norrköping,0,2,0,2,0.8792270531400965
2017-10-01,AIK,Elfsborg,AIK,IF Elfsborg,5,2,3,1,0.9444444444444444
2017-09-30,AFC Eskilstuna,Jonkopings,AFC Eskilstuna,Jonkopings Sodra,1,1,1,0,0.9
2017-09-24,Kalmar,Ostersunds,Kalmar FF,Östersunds FK,2,1,1,1,0.8831168831168831
2017-09-24,Jonkopings,Sundsvall,Jonkopings Sodra,GIF Sundsvall,2,2,1,1,0.8285714285714285
2017-09-24,Hacken,AIK,BK Häcken,AIK,1,6,1,4,0.9285714285714286
2017-09-24,Djurgarden,Hammarby,Djurgården,Hammarby IF,1,1,0,1,0.9444444444444444
2017-09-23,Halmstad,Norrkoping,Halmstads BK,IFK Norrköping,2,1,1,0,0.8558352402745995
2017-09-17,Malmo FF,Hammarby,Malmö FF,Hammarby IF,4,0,1,0,0.9444444444444444
2017-09-17,AIK,Halmstad,AIK,Halmstads BK,4,1,4,0,0.9210526315789473
2017-09-16,Goteborg,Jonkopings,IFK Göteborg,Jonkopings Sodra,1,1,0,1,0.8210526315789474
2017-09-16,Djurgarden,Orebro,Djurgården,Orebro SK,4,1,2,0,0.9285714285714286
2017-09-10,Sirius,Sundsvall,IK Sirius,GIF Sundsvall,0,1,0,0,0.8571428571428571
2017-09-10,Orebro,Malmo FF,Orebro SK,Malmö FF,2,1,0,0,0.9285714285714286
2017-09-10,Jonkopings,Norrkoping,Jonkopings Sodra,IFK Norrköping,1,2,1,1,0.8347826086956522
2017-09-10,Hammarby,AIK,Hammarby IF,AIK,1,1,1,1,0.9444444444444444
2017-09-10,Halmstad,Hacken,Halmstads BK,BK Häcken,0,3,0,1,0.849624060150376
2017-09-10,Elfsborg,Kalmar,IF Elfsborg,Kalmar FF,2,2,1,0,0.873015873015873
2017-08-27,Sundsvall,Orebro,GIF Sundsvall,Orebro SK,2,1,0,0,0.8571428571428571
2017-08-27,Norrkoping,Ostersunds,IFK Norrköping,Östersunds FK,0,2,0,0,0.8893280632411067
2017-08-27,Malmo FF,Goteborg,Malmö FF,IFK Göteborg,2,2,0,1,0.9210526315789473
2017-08-27,Kalmar,Sirius,Kalmar FF,IK Sirius,4,2,2,1,0.8571428571428571
2017-08-27,Hacken,Jonkopings,BK Häcken,Jonkopings Sodra,3,1,2,0,0.8285714285714285
2017-08-27,Elfsborg,Halmstad,IF Elfsborg,Halmstads BK,1,0,0,0,0.8654970760233918
2017-08-27,AIK,Djurgarden,AIK,Djurgården,1,1,1,0,1.0
2017-08-26,AFC Eskilstuna,Hammarby,AFC Eskilstuna,Hammarby IF,0,0,0,0,0.9444444444444444
2017-08-20,Sirius,Norrkoping,IK Sirius,IFK Norrköping,0,1,0,1,0.8633540372670807
2017-08-20,Ostersunds,AIK,Östersunds FK,AIK,0,3,0,1,0.9545454545454546
2017-08-20,Goteborg,Hacken,IFK Göteborg,BK Häcken,1,1,1,1,0.849624060150376
2017-08-20,Djurgarden,Halmstad,Djurgården,Halmstads BK,2,1,1,1,0.9210526315789473
2017-08-19,AFC Eskilstuna,Malmo FF,AFC Eskilstuna,Malmö FF,3,1,3,0,1.0
2017-08-13,Norrkoping,Djurgarden,IFK Norrköping,Djurgården,0,1,0,0,0.9347826086956521
2017-08-13,Jonkopings,Orebro,Jonkopings Sodra,Orebro SK,1,2,1,1,0.8285714285714285
2017-08-13,Hammarby,Ostersunds,Hammarby IF,Östersunds FK,2,2,1,1,0.898989898989899
2017-08-13,AIK,AFC Eskilstuna,AIK,AFC Eskilstuna,1,1,0,1,1.0
2017-08-12,Halmstad,Sirius,Halmstads BK,IK Sirius,0,3,0,1,0.849624060150376
2017-08-06,Sundsvall,Ostersunds,GIF Sundsvall,Östersunds FK,1,1,0,0,0.8831168831168831
2017-08-06,Sirius,AIK,IK Sirius,AIK,1,4,0,3,0.9285714285714286
2017-08-06,Kalmar,Goteborg,Kalmar FF,IFK Göteborg,1,0,0,0,0.849624060150376
2017-08-06,Hammarby,Hacken,Hammarby IF,BK Häcken,1,2,0,0,0.873015873015873
2017-08-05,Halmstad,Jonkopings,Halmstads BK,Jonkopings Sodra,6,1,4,0,0.8210526315789474
2017-07-30,Ostersunds,Halmstad,Östersunds FK,Halmstads BK,0,0,0,0,0.8755980861244019
2017-07-30,Goteborg,Norrkoping,IFK Göteborg,IFK Norrköping,4,1,2,1,0.8558352402745995
2017-07-30,AIK,Kalmar,AIK,Kalmar FF,0,1,0,0,0.9285714285714286
2017-07-29,Jonkopings,Hammarby,Jonkopings Sodra,Hammarby IF,1,0,1,0,0.8444444444444444
2017-07-29,Elfsborg,Sirius,IF Elfsborg,IK Sirius,0,2,0,0,0.873015873015873
2017-07-23,Kalmar,AFC Eskilstuna,Kalmar FF,AFC Eskilstuna,2,0,1,0,0.9285714285714286
2017-07-23,Goteborg,Orebro,IFK Göteborg,Orebro SK,2,2,0,0,0.849624060150376
2017-07-23,Djurgarden,Ostersunds,Djurgården,Östersunds FK,3,0,1,0,0.9545454545454546
2017-07-22,Malmo FF,Jonkopings,Malmö FF,Jonkopings Sodra,2,0,0,0,0.9
2017-07-22,Halmstad,Sundsvall,Halmstads BK,GIF Sundsvall,2,2,2,2,0.849624060150376
2017-07-16,Orebro,Goteborg,Orebro SK,IFK Göteborg,4,2,4,0,0.849624060150376
2017-07-16,AIK,Norrkoping,AIK,IFK Norrköping,1,0,0,0,0.9347826086956521
2017-07-15,Sundsvall,Halmstad,GIF Sundsvall,Halmstads BK,1,0,0,0,0.849624060150376
2017-07-15,Malmo FF,Sirius,Malmö FF,IK Sirius,3,3,2,0,0.9285714285714286
2017-07-15,AFC Eskilstuna,Kalmar,AFC Eskilstuna,Kalmar FF,2,1,0,1,0.9285714285714286
2017-07-09,Ostersunds,Jonkopings,Östersunds FK,Jonkopings Sodra,1,1,0,0,0.8545454545454545
2017-07-09,Norrkoping,Elfsborg,IFK Norrköping,IF Elfsborg,1,3,0,2,0.8792270531400965
2017-07-09,Kalmar,AIK,Kalmar FF,AIK,0,1,0,0,0.9285714285714286
2017-07-08,Sirius,AFC Eskilstuna,IK Sirius,AFC Eskilstuna,1,0,0,0,0.9285714285714286
2017-07-08,Hammarby,Orebro,Hammarby IF,Orebro SK,3,1,1,0,0.873015873015873
2017-07-02,Orebro,Norrkoping,Orebro SK,IFK Norrköping,4,2,2,2,0.8633540372670807
2017-07-02,Jonkopings,Goteborg,Jonkopings Sodra,IFK Göteborg,0,2,0,1,0.8210526315789474
2017-07-02,AIK,Ostersunds,AIK,Östersunds FK,2,2,1,1,0.9545454545454546
2017-07-01,Sundsvall,Sirius,GIF Sundsvall,IK Sirius,1,2,1,0,0.8571428571428571
2017-07-01,Malmo FF,AFC Eskilstuna,Malmö FF,AFC Eskilstuna,3,2,1,2,1.0
2017-06-04,Sirius,Halmstad,IK Sirius,Halmstads BK,2,1,0,1,0.849624060150376
2017-06-04,Norrkoping,Goteborg,IFK Norrköping,IFK Göteborg,2,0,1,0,0.8558352402745995
2017-06-04,Hammarby,Djurgarden,Hammarby IF,Djurgården,3,1,0,1,0.9444444444444444
2017-06-04,AFC Eskilstuna,AIK,AFC Eskilstuna,AIK,1,3,1,1,1.0
2017-06-03,Ostersunds,Sundsvall,Östersunds FK,GIF Sundsvall,3,1,2,0,0.8831168831168831
2017-06-03,Kalmar,Orebro,Kalmar FF,Orebro SK,0,1,0,0,0.8571428571428571
2017-05-28,Hammarby,Jonkopings,Hammarby IF,Jonkopings Sodra,2,2,1,0,0.8444444444444444
2017-05-28,Goteborg,Elfsborg,IFK Göteborg,IF Elfsborg,1,1,1,1,0.8654970760233918
2017-05-27,Djurgarden,AFC Eskilstuna,Djurgården,AFC Eskilstuna,4,1,1,0,1.0
2017-05-21,Sirius,Hammarby,IK Sirius,Hammarby IF,1,1,1,1,0.873015873015873
2017-05-21,Malmo FF,Norrkoping,Malmö FF,IFK Norrköping,1,2,0,0,0.9347826086956521
2017-05-21,AFC Eskilstuna,Hacken,AFC Eskilstuna,BK Häcken,0,0,0,0,0.9285714285714286
2017-05-20,Ostersunds,Kalmar,Östersunds FK,Kalmar FF,2,1,1,0,0.8831168831168831
2017-05-14,Sundsvall,Jonkopings,GIF Sundsvall,Jonkopings Sodra,0,0,0,0,0.8285714285714285
2017-05-14,Sirius,Elfsborg,IK Sirius,IF Elfsborg,4,1,1,1,0.873015873015873
2017-05-14,Malmo FF,Ostersunds,Malmö FF,Östersunds FK,2,1,0,0,0.9545454545454546
2017-05-14,Halmstad,Hammarby,Halmstads BK,Hammarby IF,1,2,0,2,0.8654970760233918
2017-05-13,Kalmar,Hacken,Kalmar FF,BK Häcken,0,1,0,0,0.8571428571428571
2017-05-13,AIK,Orebro,AIK,Orebro SK,1,0,1,0,0.9285714285714286
2017-05-07,Ostersunds,Hammarby,Östersunds FK,Hammarby IF,2,1,0,0,0.898989898989899
2017-05-07,Orebro,Djurgarden,Orebro SK,Djurgården,0,4,0,2,0.9285714285714286
2017-05-07,Jonkopings,AFC Eskilstuna,Jonkopings Sodra,AFC Eskilstuna,1,0,0,0,0.9
2017-05-07,Goteborg,Kalmar,IFK Göteborg,Kalmar FF,3,0,2,0,0.849624060150376
2017-05-06,Halmstad,AIK,Halmstads BK,AIK,0,1,0,1,0.9210526315789473
2017-05-01,Sirius,Jonkopings,IK Sirius,Jonkopings Sodra,1,1,0,0,0.8285714285714285
2017-05-01,Malmo FF,Orebro,Malmö FF,Orebro SK,2,1,0,0,0.9285714285714286
2017-05-01,Kalmar,Halmstad,Kalmar FF,Halmstads BK,2,0,1,0,0.849624060150376
2017-05-01,Djurgarden,Norrkoping,Djurgården,IFK Norrköping,3,3,1,2,0.9347826086956521
2017-04-30,AIK,Sundsvall,AIK,GIF Sundsvall,0,0,0,0,0.9285714285714286
2017-04-29,Hammarby,AFC Eskilstuna,Hammarby IF,AFC Eskilstuna,4,0,0,0,0.9444444444444444
2017-04-23,Ostersunds,Goteborg,Östersunds FK,IFK Göteborg,1,1,0,0,0.8755980861244019
2017-04-23,Hammarby,Sundsvall,Hammarby IF,GIF Sundsvall,0,0,0,0,0.873015873015873
2017-04-23,Hacken,Norrkoping,BK Häcken,IFK Norrköping,1,2,1,0,0.8633540372670807
2017-04-23,AFC Eskilstuna,Halmstad,AFC Eskilstuna,Halmstads BK,0,0,0,0,0.9210526315789473
2017-04-22,Jonkopings,AIK,Jonkopings Sodra,AIK,2,1,1,1,0.9
2017-04-17,Norrkoping,Sirius,IFK Norrköping,IK Sirius,0,2,0,0,0.8633540372670807
2017-04-17,Kalmar,Jonkopings,Kalmar FF,Jonkopings Sodra,1,3,1,3,0.8285714285714285
2017-04-17,Goteborg,AFC Eskilstuna,IFK Göteborg,AFC Eskilstuna,1,1,0,0,0.9210526315789473
2017-04-17,AIK,Hammarby,AIK,Hammarby IF,1,2,1,1,0.9444444444444444
2017-04-16,Sundsvall,Hacken,GIF Sundsvall,BK Häcken,1,2,0,2,0.8571428571428571
2017-04-16,Orebro,Ostersunds,Orebro SK,Östersunds FK,2,1,1,0,0.8831168831168831
2017-04-16,Halmstad,Malmo FF,Halmstads BK,Malmö FF,0,3,0,2,0.9210526315789473
2017-04-16,Djurgarden,Elfsborg,Djurgården,IF Elfsborg,3,0,2,0,0.9444444444444444
2017-04-09,Sirius,Goteborg,IK Sirius,IFK Göteborg,0,2,0,0,0.849624060150376
2017-04-09,Ostersunds,Norrkoping,Östersunds FK,IFK Norrköping,1,0,1,0,0.8893280632411067
2017-04-09,Jonkopings,Halmstad,Jonkopings Sodra,Halmstads BK,2,2,1,0,0.8210526315789474
2017-04-09,Hammarby,Kalmar,Hammarby IF,Kalmar FF,1,1,0,1,0.873015873015873
2017-04-09,Hacken,Djurgarden,BK Häcken,Djurgården,0,0,0,0,0.9285714285714286
2017-04-08,AFC Eskilstuna,Orebro,AFC Eskilstuna,Orebro SK,2,2,0,0,0.9285714285714286
2017-04-02,Sundsvall,AFC Eskilstuna,GIF Sundsvall,AFC Eskilstuna,3,1,2,1,0.9285714285714286
2017-04-02,Norrkoping,Hammarby,IFK Norrköping,Hammarby IF,2,1,2,0,0.8792270531400965
2017-04-02,AIK,Hacken,AIK,BK Häcken,0,0,0,0,0.9285714285714286
2017-04-01,Halmstad,Ostersunds,Halmstads BK,Östersunds FK,1,0,1,0,0.8755980861244019
2017-04-01,Goteborg,Malmo FF,IFK Göteborg,Malmö FF,1,1,1,1,0.9210526315789473
2016-11-20,Helsingborg,Halmstad,Helsingborg,Halmstads BK,1,2,0,0,0.9210526315789473
2016-11-06,Sundsvall,Djurgarden,GIF Sundsvall,Djurgården,2,5,1,2,0.9285714285714286
2016-11-06,Ostersunds,Gefle,Östersunds FK,Gefle IF,2,4,1,2,0.8712121212121212
2016-11-06,Norrkoping,Goteborg,IFK Norrköping,IFK Göteborg,3,1,1,1,0.8558352402745995
2016-11-06,Malmo FF,Hammarby,Malmö FF,Hammarby IF,3,0,1,0,0.9444444444444444
2016-11-06,Helsingborg,Jonkopings,Helsingborg,Jonkopings Sodra,2,0,1,0,0.9
2016-11-06,Elfsborg,Orebro,IF Elfsborg,Orebro SK,2,1,0,0,0.873015873015873
2016-11-06,AIK,Kalmar,AIK,Kalmar FF,3,1,1,1,0.9285714285714286
2016-10-30,Kalmar,Sundsvall,Kalmar FF,GIF Sundsvall,2,0,1,0,0.8571428571428571
2016-10-30,Hammarby,Norrkoping,Hammarby IF,IFK Norrköping,1,1,1,0,0.8792270531400965
2016-10-23,Orebro,Helsingborg,Orebro SK,Helsingborg,0,0,0,0,0.9285714285714286
2016-10-23,Norrkoping,Falkenbergs,IFK Norrköping,Falkenbergs FF,2,1,1,1,0.8931159420289855
2016-10-23,Hammarby,Elfsborg,Hammarby IF,IF Elfsborg,2,4,0,3,0.8888888888888888
2016-10-23,Hacken,Kalmar,BK Häcken,Kalmar FF,2,3,2,1,0.8571428571428571
2016-10-22,Malmo FF,Ostersunds,Malmö FF,Östersunds FK,0,3,0,1,0.9545454545454546
2016-10-16,Orebro,Kalmar,Orebro SK,Kalmar FF,2,1,0,1,0.8571428571428571
2016-10-16,Norrkoping,Malmo FF,IFK Norrköping,Malmö FF,1,2,0,1,0.9347826086956521
2016-10-16,Jonkopings,Hacken,Jonkopings Sodra,BK Häcken,1,1,1,0,0.8285714285714285
2016-10-16,Elfsborg,Helsingborg,IF Elfsborg,Helsingborg,1,0,1,0,0.9444444444444444
2016-10-16,AIK,Ostersunds,AIK,Östersunds FK,2,0,1,0,0.9545454545454546
2016-10-15,Falkenbergs,Sundsvall,Falkenbergs FF,GIF Sundsvall,1,1,1,0,0.8869047619047619
2016-10-02,Kalmar,Goteborg,Kalmar FF,IFK Göteborg,4,2,3,0,0.849624060150376
2016-10-02,Gefle,Elfsborg,Gefle IF,IF Elfsborg,2,2,1,2,0.8611111111111112
2016-10-02,Djurgarden,Orebro,Djurgården,Orebro SK,3,2,2,1,0.9285714285714286
2016-10-02,AIK,Norrkoping,AIK,IFK Norrköping,6,0,2,0,0.9347826086956521
2016-10-01,Sundsvall,Jonkopings,GIF Sundsvall,Jonkopings Sodra,3,1,1,0,0.8285714285714285
2016-10-01,Ostersunds,Falkenbergs,Östersunds FK,Falkenbergs FF,6,1,3,1,0.9128787878787878
2016-10-01,Hacken,Malmo FF,BK Häcken,Malmö FF,2,4,2,2,0.9285714285714286
2016-09-25,Malmo FF,Helsingborg,Malmö FF,Helsingborg,2,0,1,0,1.0
2016-09-25,Elfsborg,AIK,IF Elfsborg,AIK,2,2,1,2,0.9444444444444444
2016-09-24,Jonkopings,Kalmar,Jonkopings Sodra,Kalmar FF,0,1,0,1,0.8285714285714285
2016-09-18,Helsingborg,Norrkoping,Helsingborg,IFK Norrköping,1,2,0,1,0.9347826086956521
2016-09-18,Elfsborg,Falkenbergs,IF Elfsborg,Falkenbergs FF,5,0,1,0,0.9027777777777777
2016-09-18,Djurgarden,Malmo FF,Djurgården,Malmö FF,3,1,2,1,1.0
2016-09-17,Kalmar,Ostersunds,Kalmar FF,Östersunds FK,2,0,2,0,0.8831168831168831
2016-09-11,Sundsvall,AIK,GIF Sundsvall,AIK,1,3,0,3,0.9285714285714286
2016-09-11,Ostersunds,Helsingborg,Östersunds FK,Helsingborg,2,0,2,0,0.9545454545454546
2016-09-11,Norrkoping,Jonkopings,IFK Norrköping,Jonkopings Sodra,5,1,5,0,0.8347826086956522
2016-09-11,Falkenbergs,Djurgarden,Falkenbergs FF,Djurgården,1,2,1,1,0.9583333333333333
2016-09-10,Elfsborg,Kalmar,IF Elfsborg,Kalmar FF,1,1,0,1,0.873015873015873
2016-08-28,Sundsvall,Malmo FF,GIF Sundsvall,Malmö FF,0,1,0,0,0.9285714285714286
2016-08-28,Orebro,Falkenbergs,Orebro SK,Falkenbergs FF,3,2,1,1,0.8869047619047619
2016-08-28,Jonkopings,Elfsborg,Jonkopings Sodra,IF Elfsborg,1,0,0,0,0.8444444444444444
2016-08-28,Goteborg,Helsingborg,IFK Göteborg,Helsingborg,2,0,1,0,0.9210526315789473
2016-08-28,AIK,Hammarby,AIK,Hammarby IF,0,0,0,0,0.9444444444444444
2016-08-27,Kalmar,Norrkoping,Kalmar FF,IFK Norrköping,0,1,0,0,0.8633540372670807
2016-08-27,Djurgarden,Gefle,Djurgården,Gefle IF,2,1,1,0,0.9166666666666667
2016-08-21,Orebro,AIK,Orebro SK,AIK,0,2,0,1,0.9285714285714286
2016-08-21,Hammarby,Goteborg,Hammarby IF,IFK Göteborg,2,0,1,0,0.8654970760233918
2016-08-21,Falkenbergs,Gefle,Falkenbergs FF,Gefle IF,1,1,1,1,0.875
2016-08-20,Ostersunds,Djurgarden,Östersunds FK,Djurgården,1,0,1,0,0.9545454545454546
2016-08-20,Helsingborg,Kalmar,Helsingborg,Kalmar FF,0,1,0,0,0.9285714285714286
2016-08-14,Kalmar,Malmo FF,Kalmar FF,Malmö FF,1,1,0,0,0.9285714285714286
2016-08-14,Hacken,Orebro,BK Häcken,Orebro SK,0,1,0,1,0.8571428571428571
2016-08-14,Djurgarden,Elfsborg,Djurgården,IF Elfsborg,2,2,1,1,0.9444444444444444
2016-08-13,Gefle,Norrkoping,Gefle IF,IFK Norrköping,0,0,0,0,0.8514492753623188
2016-08-13,AIK,Helsingborg,AIK,Helsingborg,2,1,0,0,1.0
2016-08-07,Hammarby,Kalmar,Hammarby IF,Kalmar FF,2,1,1,0,0.873015873015873
2016-08-07,Elfsborg,Hacken,IF Elfsborg,BK Häcken,2,4,2,3,0.873015873015873
2016-08-06,Ostersunds,Sundsvall,Östersunds FK,GIF Sundsvall,4,0,0,0,0.8831168831168831
2016-08-06,Falkenbergs,Jonkopings,Falkenbergs FF,Jonkopings Sodra,0,5,0,2,0.8583333333333334
2016-07-31,Jonkopings,Goteborg,Jonkopings Sodra,IFK Göteborg,1,1,0,0,0.8210526315789474
2016-07-31,Hacken,Helsingborg,BK Häcken,Helsingborg,1,1,1,1,0.9285714285714286
2016-07-31,AIK,Falkenbergs,AIK,Falkenbergs FF,2,0,2,0,0.9583333333333333
2016-07-30,Sundsvall,Norrkoping,GIF Sundsvall,IFK Norrköping,1,2,1,1,0.8633540372670807
2016-07-30,Ostersunds,Elfsborg,Östersunds FK,IF Elfsborg,0,0,0,0,0.898989898989899
2016-07-30,Gefle,Hammarby,Gefle IF,Hammarby IF,0,2,0,2,0.8611111111111112
2016-07-24,Helsingborg,Hacken,Helsingborg,BK Häcken,0,2,0,2,0.9285714285714286
2016-07-24,Hammarby,AIK,Hammarby IF,AIK,0,3,0,3,0.9444444444444444
2016-07-24,Goteborg,Jonkopings,IFK Göteborg,Jonkopings Sodra,2,1,2,1,0.8210526315789474
2016-07-23,Norrkoping,Gefle,IFK Norrköping,Gefle IF,2,0,1,0,0.8514492753623188
2016-07-23,Malmo FF,Kalmar,Malmö FF,Kalmar FF,1,1,0,1,0.9285714285714286
2016-07-23,Falkenbergs,Orebro,Falkenbergs FF,Orebro SK,1,3,0,2,0.8869047619047619
2016-07-17,Orebro,Hacken,Orebro SK,BK Häcken,0,0,0,0,0.8571428571428571
2016-07-17,Hammarby,Falkenbergs,Hammarby IF,Falkenbergs FF,3,3,2,3,0.9027777777777777
2016-07-17,Elfsborg,Goteborg,IF Elfsborg,IFK Göteborg,1,1,0,1,0.8654970760233918
2016-07-17,AIK,Malmo FF,AIK,Malmö FF,1,1,1,1,1.0
2016-07-16,Sundsvall,Helsingborg,GIF Sundsvall,Helsingborg,0,2,0,1,0.9285714285714286
2016-07-16,Norrkoping,Ostersunds,IFK Norrköping,Östersunds FK,3,3,2,1,0.8893280632411067
2016-07-10,Ostersunds,Jonkopings,Östersunds FK,Jonkopings Sodra,1,0,0,0,0.8545454545454545
2016-07-10,Kalmar,AIK,Kalmar FF,AIK,1,1,1,1,0.9285714285714286
2016-07-10,Helsingborg,Elfsborg,Helsingborg,IF Elfsborg,2,4,0,1,0.9444444444444444
