Date,Home,Away,SourceHome,SourceAway,HG,AG,HTHG,HTAG,MatchScore
2019-09-22,Elfsborg,Malmo FF,IF Elfsborg,Malmö FF,0,3,0,0,0.9444444444444444
2019-09-21,Norrkoping,Orebro,IFK Norrköping,Orebro SK,3,0,2,0,0.8633540372670807
2019-09-21,Kalmar,Hacken,Kalmar FF,BK Häcken,1,1,1,0,0.8571428571428571
2019-09-21,Falkenbergs,Ostersunds,Falkenbergs FF,Östersunds FK,1,0,1,0,0.9128787878787878
2019-09-15,Malmo FF,Norrkoping,Malmö FF,IFK Norrköping,1,0,0,0,0.9347826086956521
2019-09-15,Hammarby,Goteborg,Hammarby IF,IFK Göteborg,6,2,3,1,0.8654970760233918
2019-09-15,Hacken,AIK,BK Häcken,AIK,1,2,0,1,0.9285714285714286
2019-09-14,Ostersunds,Kalmar,Östersunds FK,Kalmar FF,1,2,1,0,0.8831168831168831
2019-09-14,Orebro,Sundsvall,Orebro SK,GIF Sundsvall,0,0,0,0,0.8571428571428571
2019-09-01,Sundsvall,Goteborg,GIF Sundsvall,IFK Göteborg,0,2,0,1,0.849624060150376
2019-09-01,Norrkoping,Hammarby,IFK Norrköping,Hammarby IF,2,0,1,0,0.8792270531400965
2019-09-01,Kalmar,Malmo FF,Kalmar FF,Malmö FF,0,5,0,2,0.9285714285714286
2019-09-01,Hacken,Falkenbergs,BK Häcken,Falkenbergs FF,4,1,2,1,0.8869047619047619
2019-09-01,AIK,Djurgarden,AIK,Djurgården,1,0,1,0,1.0
2019-08-31,Orebro,AFC Eskilstuna,Orebro SK,AFC Eskilstuna,3,1,2,1,0.9285714285714286
2019-08-31,Elfsborg,Sirius,IF Elfsborg,IK Sirius,1,1,1,0,0.873015873015873
2019-08-25,Ostersunds,AIK,Östersunds FK,AIK,1,3,0,0,0.9545454545454546
2019-08-25,Norrkoping,Helsingborg,IFK Norrköping,Helsingborg,5,0,2,0,0.9347826086956521
2019-08-25,Malmo FF,Djurgarden,Malmö FF,Djurgården,0,1,0,0,1.0
2019-08-25,AFC Eskilstuna,Hacken,AFC Eskilstuna,BK Häcken,0,2,0,0,0.9285714285714286
2019-08-24,Sirius,Orebro,IK Sirius,Orebro SK,3,4,0,3,0.8571428571428571
2019-08-18,Sirius,Norrkoping,IK Sirius,IFK Norrköping,0,2,0,0,0.8633540372670807
2019-08-18,Orebro,Hacken,Orebro SK,BK Häcken,1,2,0,1,0.8571428571428571
2019-08-18,Malmo FF,Falkenbergs,Malmö FF,Falkenbergs FF,5,0,2,0,0.9583333333333333
2019-08-18,AIK,Kalmar,AIK,Kalmar FF,1,2,0,2,0.9285714285714286
2019-08-17,Hammarby,Sundsvall,Hammarby IF,GIF Sundsvall,3,0,2,0,0.873015873015873
2019-08-11,Norrkoping,Elfsborg,IFK Norrköping,IF Elfsborg,2,0,2,0,0.8792270531400965
2019-08-11,Hammarby,Helsingborg,Hammarby IF,Helsingborg,2,1,2,0,0.9444444444444444
2019-08-11,Hacken,Malmo FF,BK Häcken,Malmö FF,1,1,0,0,0.9285714285714286
2019-08-11,AFC Eskilstuna,AIK,AFC Eskilstuna,AIK,2,4,1,1,1.0
2019-08-10,Djurgarden,Sirius,Djurgården,IK Sirius,4,0,3,0,0.9285714285714286
