联赛,状态,有效样本,验证准确率,测试准确率,测试样本,测试LogLoss
英超,已训练,6692.0,0.292123629112662,0.2691924227318046,1003.0,1.989737803126182
西甲,已训练,6243.0,0.24252136752136752,0.2745726495726496,936.0,1.9709475152628269
德甲,已训练,4618.0,0.29190751445086704,0.30491329479768786,692.0,1.9701875381257463
意甲,已训练,6132.0,0.2850924918389554,0.2720348204570185,919.0,1.9589310844269525
法甲,已训练,6024.0,0.2502768549280177,0.301218161683278,903.0,1.983750371158683
葡超,已训练,2084.0,0.28525641025641024,0.266025641025641,312.0,1.8831562216760585
瑞超,真实半场数据不足,,,,,
日职,真实半场数据不足,,,,,
韩职,已训练,76.0,0.2727272727272727,0.09090909090909091,11.0,2.047261868232844
