samples,accuracy,log_loss,brier,mean_confidence,fold,train_samples,test_start,test_end,任务,算法,数据量,最终测试命中率,最终测试LogLoss,最终测试样本
122,0.4918032786885246,1.0282165503643979,0.6160005553354817,0.4487263988922787,1,1042,2018-10-07,2019-06-16,胜平负,赔率融合 C=0.03/模型权重=0.15,1799,0.4312267657992565,1.0660615739186887,269
122,0.4426229508196721,1.0566602107255512,0.6397832677042886,0.461531025075825,2,1164,2019-06-21,2019-11-23,胜平负,赔率融合 C=0.03/模型权重=0.15,1799,0.4312267657992565,1.0660615739186887,269
122,0.5,1.0381505172129009,0.6254484600283905,0.4756047978286583,3,1286,2019-11-23,2020-09-16,胜平负,赔率融合 C=0.03/模型权重=0.15,1799,0.4312267657992565,1.0660615739186887,269
122,0.5081967213114754,1.0174801188840197,0.6107024136090772,0.45381123531108253,4,1408,2020-09-16,2021-05-22,胜平负,赔率融合 C=0.03/模型权重=0.15,1799,0.4312267657992565,1.0660615739186887,269
122,0.5573770491803278,0.6977572573819072,0.5041924562571964,0.5625972904758251,1,1042,2018-10-07,2019-06-16,大小球,泊松 alpha=0.01/半衰期=4.0/收缩=0.10,1799,0.5353159851301115,0.6882962015181627,269
122,0.5327868852459017,0.6983822286800896,0.5046513980581802,0.55323371886344,2,1164,2019-06-21,2019-11-23,大小球,泊松 alpha=0.01/半衰期=4.0/收缩=0.10,1799,0.5353159851301115,0.6882962015181627,269
122,0.5573770491803278,0.6952725498620452,0.5012531191436991,0.5603608894047147,3,1286,2019-11-23,2020-09-16,大小球,泊松 alpha=0.01/半衰期=4.0/收缩=0.10,1799,0.5353159851301115,0.6882962015181627,269
122,0.5573770491803278,0.700987653677362,0.5075403905509073,0.564964392347854,4,1408,2020-09-16,2021-05-22,大小球,泊松 alpha=0.01/半衰期=4.0/收缩=0.10,1799,0.5353159851301115,0.6882962015181627,269
122,0.10655737704918032,2.788196773396361,0.9252936327453004,0.13816733060344316,1,1042,2018-10-07,2019-06-16,比分,泊松 alpha=10/半衰期=8.0/收缩=0.00,1799,0.10408921933085502,2.847498059355632,269
122,0.16393442622950818,2.845077715502534,0.9203216135857996,0.13730643143541243,2,1164,2019-06-21,2019-11-23,比分,泊松 alpha=10/半衰期=8.0/收缩=0.00,1799,0.10408921933085502,2.847498059355632,269
122,0.12295081967213115,2.963571982683495,0.9304464600463673,0.1369549580411946,3,1286,2019-11-23,2020-09-16,比分,泊松 alpha=10/半衰期=8.0/收缩=0.00,1799,0.10408921933085502,2.847498059355632,269
122,0.12295081967213115,2.880403874327998,0.9255902186924145,0.13709092251676225,4,1408,2020-09-16,2021-05-22,比分,泊松 alpha=10/半衰期=8.0/收缩=0.00,1799,0.10408921933085502,2.847498059355632,269
